cell,arc,meas,slew_idx,load_idx,inst,group,param,s1,sigma_mm,c_local,contrib_frac,share_global,c_global_1sig
INV_X1,A_r_ZN_f,delay,0,0,M1,N,vth,3.368100e-11,2.108185e-02,7.100578e-13,7.522473e-01,1.000000e+00,5.052150e-13
INV_X1,A_r_ZN_f,delay,0,0,M1,N,u0,-3.858750e-12,1.054093e-01,-4.067481e-13,2.468450e-01,1.000000e+00,-1.157625e-13
INV_X1,A_r_ZN_f,delay,0,0,M2,P,vth,6.120000e-13,1.338877e-02,8.193927e-15,1.001746e-04,1.000000e+00,9.180000e-15
INV_X1,A_r_ZN_f,delay,0,0,M2,P,u0,-3.822500e-13,6.085806e-02,-2.326299e-14,8.074292e-04,1.000000e+00,-1.146750e-14
INV_X1,A_r_ZN_f,trans,0,0,M1,N,vth,2.392600e-11,2.108185e-02,5.044043e-13,6.279573e-01,1.000000e+00,3.588900e-13
INV_X1,A_r_ZN_f,trans,0,0,M1,N,u0,-3.683250e-12,1.054093e-01,-3.882488e-13,3.720427e-01,1.000000e+00,-1.104975e-13
INV_X1,A_r_ZN_f,trans,0,0,M2,P,vth,-2.500000e-15,1.338877e-02,-3.347192e-17,2.765247e-09,1.000000e+00,-3.750000e-17
INV_X1,A_r_ZN_f,trans,0,0,M2,P,u0,1.250000e-15,6.085806e-02,7.607258e-17,1.428331e-08,1.000000e+00,3.750000e-17
INV_X1,A_r_ZN_f,delay,0,1,M1,N,vth,6.013000e-11,2.108185e-02,1.267652e-12,7.251447e-01,1.000000e+00,9.019500e-13
INV_X1,A_r_ZN_f,delay,0,1,M1,N,u0,-7.402500e-12,1.054093e-01,-7.802923e-13,2.747511e-01,1.000000e+00,-2.220750e-13
INV_X1,A_r_ZN_f,delay,0,1,M2,P,vth,-4.600000e-13,1.338877e-02,-6.158834e-15,1.711677e-05,1.000000e+00,-6.900000e-15
