Per-transistor contribution, delay arcs, averaged over the table points
  share_global = S1_i / sum_{i in group} S1_i   (share of the global shift of the group/param)
  lvf_share    = (S1_i*sigma_mm_i)^2 / sigma_local^2   (share of the LVF variance, all groups/params)
  cell       arc        group  param  inst     share_global  lvf_share
  INV_X1     A_r_ZN_f   N      vth    M1              1.000      0.783
  INV_X1     A_r_ZN_f   N      u0     M1              1.000      0.217
  INV_X1     A_r_ZN_f   P      vth    M2              1.000      0.000
  INV_X1     A_r_ZN_f   P      u0     M2              1.000      0.000
  INV_X1     A_f_ZN_r   N      vth    M1              1.000      0.001
  INV_X1     A_f_ZN_r   N      u0     M1              1.000      0.000
  INV_X1     A_f_ZN_r   P      vth    M2              1.000      0.543
  INV_X1     A_f_ZN_r   P      u0     M2              1.000      0.456
  NAND2_X1   A_r_ZN_f   N      vth    M1              0.834      0.760
  NAND2_X1   A_r_ZN_f   N      u0     M1              0.610      0.136
  NAND2_X1   A_r_ZN_f   N      vth    M2              0.166      0.035
  NAND2_X1   A_r_ZN_f   N      u0     M2              0.390      0.068
  NAND2_X1   A_r_ZN_f   P      vth    M3              0.999      0.000
  NAND2_X1   A_r_ZN_f   P      u0     M3              1.000      0.000
  NAND2_X1   A_r_ZN_f   P      vth    M4              0.001      0.000
  NAND2_X1   A_r_ZN_f   P      u0     M4             -0.000      0.000
  NAND2_X1   A_f_ZN_r   N      vth    M1              0.900      0.000
  NAND2_X1   A_f_ZN_r   N      u0     M1              0.317      0.000
  NAND2_X1   A_f_ZN_r   N      vth    M2              0.100      0.000
  NAND2_X1   A_f_ZN_r   N      u0     M2              0.683      0.000
  NAND2_X1   A_f_ZN_r   P      vth    M3              1.000      0.523
  NAND2_X1   A_f_ZN_r   P      u0     M3              1.000      0.477
  NAND2_X1   A_f_ZN_r   P      vth    M4              0.000      0.000
  NAND2_X1   A_f_ZN_r   P      u0     M4              0.000      0.000
  NAND2_X1   B_r_ZN_f   N      vth    M1              0.356      0.208
  NAND2_X1   B_r_ZN_f   N      u0     M1              0.327      0.064
  NAND2_X1   B_r_ZN_f   N      vth    M2              0.644      0.549
  NAND2_X1   B_r_ZN_f   N      u0     M2              0.673      0.178
  NAND2_X1   B_r_ZN_f   P      vth    M3              0.002      0.000
  NAND2_X1   B_r_ZN_f   P      u0     M3              0.000      0.000
  NAND2_X1   B_r_ZN_f   P      vth    M4              0.998      0.000
  NAND2_X1   B_r_ZN_f   P      u0     M4              1.000      0.000
  NAND2_X1   B_f_ZN_r   N      vth    M1              1.115      0.002
  NAND2_X1   B_f_ZN_r   N      u0     M1              7.339      0.000
  NAND2_X1   B_f_ZN_r   N      vth    M2             -0.115      0.000
  NAND2_X1   B_f_ZN_r   N      u0     M2             -6.339      0.000
  NAND2_X1   B_f_ZN_r   P      vth    M3              0.000      0.000
  NAND2_X1   B_f_ZN_r   P      u0     M3              0.000      0.000
  NAND2_X1   B_f_ZN_r   P      vth    M4              1.000      0.508
  NAND2_X1   B_f_ZN_r   P      u0     M4              1.000      0.490
  NOR2_X1    A_r_ZN_f   N      vth    M1              1.000      0.746
  NOR2_X1    A_r_ZN_f   N      u0     M1              1.000      0.249
  NOR2_X1    A_r_ZN_f   N      vth    M2              0.000      0.000
  NOR2_X1    A_r_ZN_f   N      u0     M2              0.000      0.000
  NOR2_X1    A_r_ZN_f   P      vth    M3             -0.083      0.000
  NOR2_X1    A_r_ZN_f   P      u0     M3             -0.453      0.000
  NOR2_X1    A_r_ZN_f   P      vth    M4              1.083      0.004
  NOR2_X1    A_r_ZN_f   P      u0     M4              1.453      0.002
  NOR2_X1    A_f_ZN_r   N      vth    M1              1.001      0.000
  NOR2_X1    A_f_ZN_r   N      u0     M1              1.000      0.000
  NOR2_X1    A_f_ZN_r   N      vth    M2             -0.001      0.000
  NOR2_X1    A_f_ZN_r   N      u0     M2             -0.000      0.000
  NOR2_X1    A_f_ZN_r   P      vth    M3              0.613      0.372
  NOR2_X1    A_f_ZN_r   P      u0     M3              0.649      0.362
  NOR2_X1    A_f_ZN_r   P      vth    M4              0.387      0.151
  NOR2_X1    A_f_ZN_r   P      u0     M4              0.351      0.115
  NOR2_X1    B_r_ZN_f   N      vth    M1              0.000      0.000
  NOR2_X1    B_r_ZN_f   N      u0     M1              0.000      0.000
  NOR2_X1    B_r_ZN_f   N      vth    M2              1.000      0.767
  NOR2_X1    B_r_ZN_f   N      u0     M2              1.000      0.233
  NOR2_X1    B_r_ZN_f   P      vth    M3             42.304      0.000
  NOR2_X1    B_r_ZN_f   P      u0     M3             -1.632      0.000
  NOR2_X1    B_r_ZN_f   P      vth    M4            -41.304      0.000
  NOR2_X1    B_r_ZN_f   P      u0     M4              2.632      0.000
  NOR2_X1    B_f_ZN_r   N      vth    M1             -0.038      0.000
  NOR2_X1    B_f_ZN_r   N      u0     M1             -0.000      0.000
  NOR2_X1    B_f_ZN_r   N      vth    M2              1.038      0.002
  NOR2_X1    B_f_ZN_r   N      u0     M2              1.000      0.001
  NOR2_X1    B_f_ZN_r   P      vth    M3              0.245      0.058
  NOR2_X1    B_f_ZN_r   P      u0     M3              0.426      0.156
  NOR2_X1    B_f_ZN_r   P      vth    M4              0.755      0.528
  NOR2_X1    B_f_ZN_r   P      u0     M4              0.574      0.256
