cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,FFG,1.470415e-11,1.297514e-11,-1.729010e-12,-1.175865e-01
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,FFG,1.029284e-11,9.068808e-12,-1.224032e-12,-1.189207e-01
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,FFG,2.540853e-11,2.240829e-11,-3.000240e-12,-1.180800e-01
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,FFG,2.389741e-11,2.105216e-11,-2.845250e-12,-1.190610e-01
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,FFG,5.328358e-11,4.692785e-11,-6.355730e-12,-1.192812e-01
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,FFG,6.017713e-11,5.300893e-11,-7.168200e-12,-1.191183e-01
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,FFG,2.202089e-11,1.904265e-11,-2.978240e-12,-1.352461e-01
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,FFG,1.285186e-11,1.269992e-11,-1.519400e-13,-1.182241e-02
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,FFG,3.306038e-11,2.928280e-11,-3.777580e-12,-1.142631e-01
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,FFG,2.431095e-11,2.211276e-11,-2.198190e-12,-9.041975e-02
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,FFG,6.106910e-11,5.388242e-11,-7.186680e-12,-1.176811e-01
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,FFG,6.017707e-11,5.300896e-11,-7.168110e-12,-1.191170e-01
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,FFG,3.355257e-11,2.704470e-11,-6.507870e-12,-1.939604e-01
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,FFG,2.282545e-11,2.200292e-11,-8.225300e-13,-3.603565e-02
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,FFG,5.076944e-11,4.336358e-11,-7.405860e-12,-1.458724e-01
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,FFG,3.375328e-11,3.292411e-11,-8.291700e-13,-2.456561e-02
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,FFG,8.083652e-11,7.173536e-11,-9.101160e-12,-1.125872e-01
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,FFG,6.245970e-11,5.728427e-11,-5.175430e-12,-8.286031e-02
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,FFG,1.806795e-11,1.511978e-11,-2.948170e-12,-1.631713e-01
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,FFG,1.611505e-11,1.323190e-11,-2.883150e-12,-1.789104e-01
