cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,FSG,1.470415e-11,1.306557e-11,-1.638580e-12,-1.114366e-01
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,FSG,1.029284e-11,9.068483e-12,-1.224357e-12,-1.189523e-01
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,FSG,2.540853e-11,2.240036e-11,-3.008170e-12,-1.183921e-01
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,FSG,2.389741e-11,2.105208e-11,-2.845330e-12,-1.190644e-01
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,FSG,5.328358e-11,4.684020e-11,-6.443380e-12,-1.209262e-01
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,FSG,6.017713e-11,5.300876e-11,-7.168370e-12,-1.191212e-01
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,FSG,2.202089e-11,1.913549e-11,-2.885400e-12,-1.310301e-01
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,FSG,1.285186e-11,1.262527e-11,-2.265900e-13,-1.763091e-02
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,FSG,3.306038e-11,2.934886e-11,-3.711520e-12,-1.122649e-01
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,FSG,2.431095e-11,2.208668e-11,-2.224270e-12,-9.149252e-02
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,FSG,6.106910e-11,5.386390e-11,-7.205200e-12,-1.179844e-01
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,FSG,6.017707e-11,5.300878e-11,-7.168290e-12,-1.191200e-01
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,FSG,3.355257e-11,2.621225e-11,-7.340320e-12,-2.187707e-01
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,FSG,2.282545e-11,2.241642e-11,-4.090300e-13,-1.791991e-02
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,FSG,5.076944e-11,4.311846e-11,-7.650980e-12,-1.507005e-01
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,FSG,3.375328e-11,3.309076e-11,-6.625200e-13,-1.962831e-02
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,FSG,8.083652e-11,7.167405e-11,-9.162470e-12,-1.133457e-01
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,FSG,6.245970e-11,5.731538e-11,-5.144320e-12,-8.236223e-02
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,FSG,1.806795e-11,2.173336e-11,3.665410e-12,2.028681e-01
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,FSG,1.611505e-11,2.005656e-11,3.941510e-12,2.445857e-01
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,FSG,3.279435e-11,4.033755e-11,7.543200e-12,2.300152e-01
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,FSG,3.661626e-11,4.560383e-11,8.987570e-12,2.454530e-01
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,FSG,7.137842e-11,8.897409e-11,1.759567e-11,2.465125e-01
