cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,NU0_m3s,1.470415e-11,1.508555e-11,3.814000e-13,2.593826e-02
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,NU0_m3s,1.029284e-11,1.065751e-11,3.646700e-13,3.542948e-02
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,NU0_m3s,2.540853e-11,2.614195e-11,7.334200e-13,2.886511e-02
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,NU0_m3s,2.389741e-11,2.474496e-11,8.475500e-13,3.546619e-02
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,NU0_m3s,5.328358e-11,5.492936e-11,1.645780e-12,3.088719e-02
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,NU0_m3s,6.017713e-11,6.231188e-11,2.134750e-12,3.547444e-02
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,NU0_m3s,2.202089e-11,2.252341e-11,5.025200e-13,2.282015e-02
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,NU0_m3s,1.285186e-11,1.306009e-11,2.082300e-13,1.620232e-02
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,NU0_m3s,3.306038e-11,3.384856e-11,7.881800e-13,2.384062e-02
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,NU0_m3s,2.431095e-11,2.507508e-11,7.641300e-13,3.143152e-02
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,NU0_m3s,6.106910e-11,6.277825e-11,1.709150e-12,2.798715e-02
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,NU0_m3s,6.017707e-11,6.231187e-11,2.134800e-12,3.547531e-02
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,NU0_m3s,3.355257e-11,3.453999e-11,9.874200e-13,2.942904e-02
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,NU0_m3s,2.282545e-11,2.312778e-11,3.023300e-13,1.324530e-02
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,NU0_m3s,5.076944e-11,5.198363e-11,1.214190e-12,2.391577e-02
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,NU0_m3s,3.375328e-11,3.422961e-11,4.763300e-13,1.411211e-02
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,NU0_m3s,8.083652e-11,8.270266e-11,1.866140e-12,2.308536e-02
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,NU0_m3s,6.245970e-11,6.431062e-11,1.850920e-12,2.963383e-02
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,NU0_m3s,1.806795e-11,1.809346e-11,2.551000e-14,1.411892e-03
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,NU0_m3s,1.611505e-11,1.611511e-11,6.000000e-17,3.723228e-06
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,NU0_m3s,3.279435e-11,3.281374e-11,1.939000e-14,5.912604e-04
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,NU0_m3s,3.661626e-11,3.661628e-11,2.000000e-17,5.462054e-07
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,NU0_m3s,7.137842e-11,7.138851e-11,1.009000e-14,1.413593e-04
INV_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,NU0_m3s,9.128664e-11,9.128661e-11,-3.000000e-17,-3.286352e-07
INV_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,NU0_m3s,2.638431e-11,2.639925e-11,1.494000e-14,5.662456e-04
INV_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,NU0_m3s,1.816676e-11,1.815501e-11,-1.175000e-14,-6.467857e-04
INV_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,NU0_m3s,4.095798e-11,4.098155e-11,2.357000e-14,5.754678e-04
