cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.470415e-11,1.329732e-11,-1.406830e-12,-9.567571e-02
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.029284e-11,9.324600e-12,-9.682400e-13,-9.406928e-02
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,2.540853e-11,2.292397e-11,-2.484560e-12,-9.778448e-02
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,2.389741e-11,2.164633e-11,-2.251080e-12,-9.419766e-02
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,5.328358e-11,4.802738e-11,-5.256200e-12,-9.864577e-02
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,6.017713e-11,5.450557e-11,-5.671560e-12,-9.424776e-02
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.202089e-11,1.948584e-11,-2.535050e-12,-1.151202e-01
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,1.285186e-11,1.281017e-11,-4.169000e-14,-3.243888e-03
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,3.306038e-11,2.988374e-11,-3.176640e-12,-9.608601e-02
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,2.431095e-11,2.259362e-11,-1.717330e-12,-7.064018e-02
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,6.106910e-11,5.507891e-11,-5.990190e-12,-9.808872e-02
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,6.017707e-11,5.450553e-11,-5.671540e-12,-9.424753e-02
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,3.355257e-11,2.730706e-11,-6.245510e-12,-1.861410e-01
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,NVT_m3s,2.282545e-11,2.251075e-11,-3.147000e-13,-1.378724e-02
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,NVT_m3s,5.076944e-11,4.418057e-11,-6.588870e-12,-1.297802e-01
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,NVT_m3s,3.375328e-11,3.344108e-11,-3.122000e-13,-9.249471e-03
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,NVT_m3s,8.083652e-11,7.304153e-11,-7.794990e-12,-9.642906e-02
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,NVT_m3s,6.245970e-11,5.850757e-11,-3.952130e-12,-6.327488e-02
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.806795e-11,1.798436e-11,-8.359000e-14,-4.626424e-03
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.611505e-11,1.611509e-11,4.000000e-17,2.482152e-06
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,3.279435e-11,3.274474e-11,-4.961000e-14,-1.512761e-03
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,3.661626e-11,3.661639e-11,1.300000e-16,3.550335e-06
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,7.137842e-11,7.137061e-11,-7.810000e-15,-1.094168e-04
INV_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,9.128664e-11,9.128716e-11,5.200000e-16,5.696343e-06
INV_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.638431e-11,2.637052e-11,-1.379000e-14,-5.226591e-04
INV_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,1.816676e-11,1.817812e-11,1.136000e-14,6.253179e-04
INV_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,4.095798e-11,4.090873e-11,-4.925000e-14,-1.202452e-03
INV_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,3.661625e-11,3.661642e-11,1.700000e-16,4.642747e-06
INV_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,7.961634e-11,7.957848e-11,-3.786000e-14,-4.755305e-04
INV_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,9.128658e-11,9.128714e-11,5.600000e-16,6.134527e-06
INV_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,4.194191e-11,4.242372e-11,4.818100e-13,1.148756e-02
INV_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,NVT_m3s,3.004457e-11,2.960074e-11,-4.438300e-13,-1.477239e-02
INV_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,NVT_m3s,6.199059e-11,6.216848e-11,1.778900e-13,2.869629e-03
INV_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,NVT_m3s,4.426741e-11,4.411481e-11,-1.526000e-13,-3.447231e-03
INV_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,NVT_m3s,1.006885e-10,1.007385e-10,5.000000e-14,4.965810e-04
INV_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,NVT_m3s,9.181450e-11,9.180681e-11,-7.690000e-15,-8.375583e-05
NAND2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.674115e-11,1.489511e-11,-1.846040e-12,-1.102696e-01
NAND2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.379447e-11,1.244101e-11,-1.353460e-12,-9.811613e-02
NAND2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,2.582710e-11,2.293267e-11,-2.894430e-12,-1.120695e-01
NAND2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,2.556354e-11,2.300468e-11,-2.558860e-12,-1.000980e-01
NAND2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,4.971340e-11,4.408098e-11,-5.632420e-12,-1.132978e-01
NAND2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,5.688010e-11,5.108697e-11,-5.793130e-12,-1.018481e-01
NAND2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.374415e-11,2.091874e-11,-2.825410e-12,-1.189939e-01
NAND2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,1.577633e-11,1.533802e-11,-4.383100e-13,-2.778276e-02
NAND2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,3.291998e-11,2.935496e-11,-3.565020e-12,-1.082935e-01
NAND2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,2.601027e-11,2.403917e-11,-1.971100e-12,-7.578160e-02
NAND2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,5.689694e-11,5.055521e-11,-6.341730e-12,-1.114599e-01
NAND2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,5.687999e-11,5.108550e-11,-5.794490e-12,-1.018722e-01
NAND2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,3.500935e-11,2.837001e-11,-6.639340e-12,-1.896448e-01
NAND2_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,NVT_m3s,2.581075e-11,2.522816e-11,-5.825900e-13,-2.257160e-02
NAND2_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,NVT_m3s,4.898940e-11,4.193104e-11,-7.058360e-12,-1.440793e-01
NAND2_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,NVT_m3s,3.549512e-11,3.465323e-11,-8.418900e-13,-2.371847e-02
NAND2_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,NVT_m3s,7.518977e-11,6.711044e-11,-8.079330e-12,-1.074525e-01
NAND2_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,NVT_m3s,6.013124e-11,5.637071e-11,-3.760530e-12,-6.253871e-02
NAND2_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,2.434389e-11,2.424725e-11,-9.664000e-14,-3.969785e-03
NAND2_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,2.369471e-11,2.369494e-11,2.300000e-16,9.706808e-06
NAND2_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,3.927560e-11,3.923489e-11,-4.071000e-14,-1.036521e-03
NAND2_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,4.419603e-11,4.419650e-11,4.700000e-16,1.063444e-05
NAND2_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,7.810387e-11,7.814306e-11,3.919000e-14,5.017677e-04
NAND2_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,9.886646e-11,9.886763e-11,1.170000e-15,1.183414e-05
NAND2_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,3.224924e-11,3.221787e-11,-3.137000e-14,-9.727361e-04
NAND2_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.436131e-11,2.437348e-11,1.217000e-14,4.995626e-04
NAND2_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,4.704226e-11,4.697624e-11,-6.602000e-14,-1.403419e-03
NAND2_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,4.419594e-11,4.419655e-11,6.100000e-16,1.380217e-05
NAND2_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,8.603645e-11,8.599784e-11,-3.861000e-14,-4.487633e-04
NAND2_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,9.886646e-11,9.886763e-11,1.170000e-15,1.183414e-05
NAND2_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,5.118165e-11,5.165154e-11,4.698900e-13,9.180829e-03
NAND2_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,NVT_m3s,3.515976e-11,3.470050e-11,-4.592600e-13,-1.306209e-02
NAND2_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,NVT_m3s,6.823589e-11,6.845174e-11,2.158500e-13,3.163291e-03
NAND2_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,NVT_m3s,4.973381e-11,4.957375e-11,-1.600600e-13,-3.218334e-03
NAND2_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,NVT_m3s,1.067708e-10,1.068524e-10,8.160000e-14,7.642539e-04
NAND2_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,NVT_m3s,9.904296e-11,9.903635e-11,-6.610000e-15,-6.673872e-05
NAND2_X1,B_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,2.024899e-11,1.792109e-11,-2.327900e-12,-1.149638e-01
NAND2_X1,B_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,1.380378e-11,1.246224e-11,-1.341540e-12,-9.718642e-02
NAND2_X1,B_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,2.931109e-11,2.594593e-11,-3.365160e-12,-1.148084e-01
NAND2_X1,B_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,2.556396e-11,2.300552e-11,-2.558440e-12,-1.000800e-01
NAND2_X1,B_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,5.317776e-11,4.708139e-11,-6.096370e-12,-1.146413e-01
NAND2_X1,B_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,5.688009e-11,5.108706e-11,-5.793030e-12,-1.018464e-01
NAND2_X1,B_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.633793e-11,2.276794e-11,-3.569990e-12,-1.355456e-01
NAND2_X1,B_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,1.442010e-11,1.354731e-11,-8.727900e-13,-6.052593e-02
NAND2_X1,B_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,3.552234e-11,3.105649e-11,-4.465850e-12,-1.257195e-01
NAND2_X1,B_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,2.568752e-11,2.341650e-11,-2.271020e-12,-8.840947e-02
NAND2_X1,B_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,5.951652e-11,5.230659e-11,-7.209930e-12,-1.211417e-01
NAND2_X1,B_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,5.688009e-11,5.108758e-11,-5.792510e-12,-1.018372e-01
NAND2_X1,B_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,3.729160e-11,2.994647e-11,-7.345130e-12,-1.969647e-01
NAND2_X1,B_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,NVT_m3s,1.989446e-11,1.983317e-11,-6.129000e-14,-3.080757e-03
NAND2_X1,B_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,NVT_m3s,4.877420e-11,4.090605e-11,-7.868150e-12,-1.613179e-01
NAND2_X1,B_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,NVT_m3s,3.025369e-11,2.907505e-11,-1.178640e-12,-3.895855e-02
NAND2_X1,B_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,NVT_m3s,7.420764e-11,6.445119e-11,-9.756450e-12,-1.314750e-01
NAND2_X1,B_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,NVT_m3s,5.848897e-11,5.374961e-11,-4.739360e-12,-8.102998e-02
NAND2_X1,B_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,3.113188e-11,3.141844e-11,2.865600e-13,9.204712e-03
NAND2_X1,B_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,2.936454e-11,2.995302e-11,5.884800e-13,2.004050e-02
NAND2_X1,B_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,4.599767e-11,4.628729e-11,2.896200e-13,6.296406e-03
NAND2_X1,B_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,5.001982e-11,5.062428e-11,6.044600e-13,1.208441e-02
NAND2_X1,B_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,8.482868e-11,8.511212e-11,2.834400e-13,3.341323e-03
NAND2_X1,B_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,1.049435e-10,1.055634e-10,6.199000e-13,5.906988e-03
NAND2_X1,B_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,3.913311e-11,3.945283e-11,3.197200e-13,8.170064e-03
NAND2_X1,B_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.934020e-11,2.993151e-11,5.913100e-13,2.015358e-02
NAND2_X1,B_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,5.401635e-11,5.429492e-11,2.785700e-13,5.157142e-03
NAND2_X1,B_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,5.001985e-11,5.062427e-11,6.044200e-13,1.208360e-02
NAND2_X1,B_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,9.296448e-11,9.321607e-11,2.515900e-13,2.706302e-03
NAND2_X1,B_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,1.049435e-10,1.055634e-10,6.199000e-13,5.906988e-03
NAND2_X1,B_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,6.014478e-11,6.088430e-11,7.395200e-13,1.229566e-02
NAND2_X1,B_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,NVT_m3s,3.691215e-11,3.725016e-11,3.380100e-13,9.157147e-03
NAND2_X1,B_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,NVT_m3s,7.528683e-11,7.581889e-11,5.320600e-13,7.067106e-03
NAND2_X1,B_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,NVT_m3s,5.353000e-11,5.404167e-11,5.116700e-13,9.558565e-03
NAND2_X1,B_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,NVT_m3s,1.139782e-10,1.143613e-10,3.831000e-13,3.361169e-03
NAND2_X1,B_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,NVT_m3s,1.049473e-10,1.055665e-10,6.192000e-13,5.900104e-03
NOR2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,NVT_m3s,3.149759e-11,2.805880e-11,-3.438790e-12,-1.091763e-01
NOR2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,NVT_m3s,2.592475e-11,2.350859e-11,-2.416160e-12,-9.319897e-02
NOR2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,NVT_m3s,4.314472e-11,3.862414e-11,-4.520580e-12,-1.047771e-01
NOR2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,NVT_m3s,3.980905e-11,3.607493e-11,-3.734120e-12,-9.380078e-02
NOR2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,NVT_m3s,7.231605e-11,6.498425e-11,-7.331800e-12,-1.013855e-01
NOR2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,NVT_m3s,7.633279e-11,6.912094e-11,-7.211850e-12,-9.447906e-02
NOR2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,NVT_m3s,3.872590e-11,3.464396e-11,-4.081940e-12,-1.054059e-01
NOR2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,NVT_m3s,2.570503e-11,2.336345e-11,-2.341580e-12,-9.109423e-02
NOR2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,NVT_m3s,5.046492e-11,4.526362e-11,-5.201300e-12,-1.030676e-01
NOR2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,NVT_m3s,3.977259e-11,3.600217e-11,-3.770420e-12,-9.479946e-02
NOR2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,NVT_m3s,7.975798e-11,7.171966e-11,-8.038320e-12,-1.007839e-01
NOR2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,NVT_m3s,7.633325e-11,6.912231e-11,-7.210940e-12,-9.446657e-02
NOR2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,NVT_m3s,5.806978e-11,5.131989e-11,-6.749890e-12,-1.162376e-01
