cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,NVT_p3s,1.470415e-11,1.635083e-11,1.646680e-12,1.119874e-01
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,NVT_p3s,1.029284e-11,1.149870e-11,1.205860e-12,1.171552e-01
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,NVT_p3s,2.540853e-11,2.838143e-11,2.972900e-12,1.170040e-01
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,NVT_p3s,2.389741e-11,2.670061e-11,2.803200e-12,1.173014e-01
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,NVT_p3s,5.328358e-11,5.967701e-11,6.393430e-12,1.199887e-01
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,NVT_p3s,6.017713e-11,6.723913e-11,7.062000e-12,1.173536e-01
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,NVT_p3s,2.202089e-11,2.459162e-11,2.570730e-12,1.167405e-01
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,NVT_p3s,1.285186e-11,1.317394e-11,3.220800e-13,2.506096e-02
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,NVT_p3s,3.306038e-11,3.671025e-11,3.649870e-12,1.104001e-01
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,NVT_p3s,2.431095e-11,2.676490e-11,2.453950e-12,1.009401e-01
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,NVT_p3s,6.106910e-11,6.818276e-11,7.113660e-12,1.164854e-01
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,NVT_p3s,6.017707e-11,6.723913e-11,7.062060e-12,1.173547e-01
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,NVT_p3s,3.355257e-11,3.996378e-11,6.411210e-12,1.910796e-01
