cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.470415e-11,1.467310e-11,-3.105000e-14,-2.111649e-03
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.029284e-11,1.029287e-11,3.000000e-17,2.914647e-06
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,PVT_m3s,2.540853e-11,2.542517e-11,1.664000e-14,6.548982e-04
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,PVT_m3s,2.389741e-11,2.389747e-11,6.000000e-17,2.510732e-06
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,PVT_m3s,5.328358e-11,5.333911e-11,5.553000e-14,1.042160e-03
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,PVT_m3s,6.017713e-11,6.017725e-11,1.200000e-16,1.994113e-06
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,PVT_m3s,2.202089e-11,2.198499e-11,-3.590000e-14,-1.630270e-03
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,PVT_m3s,1.285186e-11,1.287870e-11,2.684000e-14,2.088414e-03
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,PVT_m3s,3.306038e-11,3.303533e-11,-2.505000e-14,-7.577045e-04
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,PVT_m3s,2.431095e-11,2.431691e-11,5.960000e-15,2.451570e-04
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,PVT_m3s,6.106910e-11,6.108784e-11,1.874000e-14,3.068655e-04
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,PVT_m3s,6.017707e-11,6.017726e-11,1.900000e-16,3.157349e-06
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,PVT_m3s,3.355257e-11,3.383865e-11,2.860800e-13,8.526322e-03
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,PVT_m3s,2.282545e-11,2.264874e-11,-1.767100e-13,-7.741797e-03
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,PVT_m3s,5.076944e-11,5.084430e-11,7.486000e-14,1.474509e-03
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,PVT_m3s,3.375328e-11,3.369758e-11,-5.570000e-14,-1.650210e-03
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,PVT_m3s,8.083652e-11,8.085721e-11,2.069000e-14,2.559487e-04
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,PVT_m3s,6.245970e-11,6.245254e-11,-7.160000e-15,-1.146339e-04
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.806795e-11,1.600027e-11,-2.067680e-12,-1.144391e-01
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.611505e-11,1.419802e-11,-1.917030e-12,-1.189590e-01
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,PVT_m3s,3.279435e-11,2.878800e-11,-4.006350e-12,-1.221659e-01
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,PVT_m3s,3.661626e-11,3.223328e-11,-4.382980e-12,-1.197004e-01
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,PVT_m3s,7.137842e-11,6.232243e-11,-9.055990e-12,-1.268729e-01
INV_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,PVT_m3s,9.128664e-11,8.032700e-11,-1.095964e-11,-1.200574e-01
INV_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,PVT_m3s,2.638431e-11,2.360565e-11,-2.778660e-12,-1.053149e-01
INV_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,PVT_m3s,1.816676e-11,1.731373e-11,-8.530300e-13,-4.695554e-02
INV_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,PVT_m3s,4.095798e-11,3.638399e-11,-4.573990e-12,-1.116752e-01
INV_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,PVT_m3s,3.661625e-11,3.261332e-11,-4.002930e-12,-1.093211e-01
INV_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,PVT_m3s,7.961634e-11,6.994592e-11,-9.670420e-12,-1.214628e-01
INV_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,PVT_m3s,9.128658e-11,8.032697e-11,-1.095961e-11,-1.200572e-01
INV_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,PVT_m3s,4.194191e-11,3.527473e-11,-6.667180e-12,-1.589622e-01
INV_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,PVT_m3s,3.004457e-11,2.912353e-11,-9.210400e-13,-3.065579e-02
INV_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,PVT_m3s,6.199059e-11,5.475546e-11,-7.235130e-12,-1.167134e-01
INV_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,PVT_m3s,4.426741e-11,4.258799e-11,-1.679420e-12,-3.793807e-02
INV_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,PVT_m3s,1.006885e-10,8.950392e-11,-1.118458e-11,-1.110810e-01
INV_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,PVT_m3s,9.181450e-11,8.216778e-11,-9.646720e-12,-1.050675e-01
NAND2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.674115e-11,1.673220e-11,-8.950000e-15,-5.346108e-04
NAND2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.379447e-11,1.379438e-11,-9.000000e-17,-6.524354e-06
NAND2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,PVT_m3s,2.582710e-11,2.584842e-11,2.132000e-14,8.254895e-04
NAND2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,PVT_m3s,2.556354e-11,2.556358e-11,4.000000e-17,1.564729e-06
NAND2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,PVT_m3s,4.971340e-11,4.976235e-11,4.895000e-14,9.846440e-04
NAND2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,PVT_m3s,5.688010e-11,5.688029e-11,1.900000e-16,3.340360e-06
NAND2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,PVT_m3s,2.374415e-11,2.372018e-11,-2.397000e-14,-1.009512e-03
NAND2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,PVT_m3s,1.577633e-11,1.579161e-11,1.528000e-14,9.685396e-04
NAND2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,PVT_m3s,3.291998e-11,3.290905e-11,-1.093000e-14,-3.320172e-04
NAND2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,PVT_m3s,2.601027e-11,2.601294e-11,2.670000e-15,1.026518e-04
NAND2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,PVT_m3s,5.689694e-11,5.691780e-11,2.086000e-14,3.666278e-04
NAND2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,PVT_m3s,5.687999e-11,5.688018e-11,1.900000e-16,3.340366e-06
NAND2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,PVT_m3s,3.500935e-11,3.525269e-11,2.433400e-13,6.950715e-03
NAND2_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,PVT_m3s,2.581075e-11,2.566838e-11,-1.423700e-13,-5.515919e-03
NAND2_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,PVT_m3s,4.898940e-11,4.908792e-11,9.852000e-14,2.011047e-03
NAND2_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,PVT_m3s,3.549512e-11,3.542716e-11,-6.796000e-14,-1.914629e-03
NAND2_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,PVT_m3s,7.518977e-11,7.523026e-11,4.049000e-14,5.385041e-04
NAND2_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,PVT_m3s,6.013124e-11,6.011427e-11,-1.697000e-14,-2.822160e-04
NAND2_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,PVT_m3s,2.434389e-11,2.146122e-11,-2.882670e-12,-1.184145e-01
NAND2_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,PVT_m3s,2.369471e-11,2.086787e-11,-2.826840e-12,-1.193026e-01
NAND2_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,PVT_m3s,3.927560e-11,3.442607e-11,-4.849530e-12,-1.234744e-01
NAND2_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,PVT_m3s,4.419603e-11,3.890313e-11,-5.292900e-12,-1.197596e-01
NAND2_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,PVT_m3s,7.810387e-11,6.817016e-11,-9.933710e-12,-1.271859e-01
NAND2_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,PVT_m3s,9.886646e-11,8.699676e-11,-1.186970e-11,-1.200579e-01
NAND2_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,PVT_m3s,3.224924e-11,2.890132e-11,-3.347920e-12,-1.038139e-01
NAND2_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,PVT_m3s,2.436131e-11,2.231764e-11,-2.043670e-12,-8.388999e-02
NAND2_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,PVT_m3s,4.704226e-11,4.169944e-11,-5.342820e-12,-1.135749e-01
NAND2_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,PVT_m3s,4.419594e-11,3.890301e-11,-5.292930e-12,-1.197605e-01
NAND2_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,PVT_m3s,8.603645e-11,7.554249e-11,-1.049396e-11,-1.219711e-01
NAND2_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,PVT_m3s,9.886646e-11,8.699673e-11,-1.186973e-11,-1.200582e-01
NAND2_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,PVT_m3s,5.118165e-11,4.441817e-11,-6.763480e-12,-1.321466e-01
NAND2_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,PVT_m3s,3.515976e-11,3.420836e-11,-9.514000e-13,-2.705934e-02
NAND2_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,PVT_m3s,6.823589e-11,6.103451e-11,-7.201380e-12,-1.055365e-01
NAND2_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,PVT_m3s,4.973381e-11,4.692684e-11,-2.806970e-12,-5.643987e-02
NAND2_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,PVT_m3s,1.067708e-10,9.486780e-11,-1.190300e-11,-1.114818e-01
NAND2_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,PVT_m3s,9.904296e-11,8.816893e-11,-1.087403e-11,-1.097910e-01
NAND2_X1,B_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,PVT_m3s,2.024899e-11,2.024071e-11,-8.280000e-15,-4.089093e-04
NAND2_X1,B_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,PVT_m3s,1.380378e-11,1.380374e-11,-4.000000e-17,-2.897757e-06
NAND2_X1,B_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,PVT_m3s,2.931109e-11,2.933550e-11,2.441000e-14,8.327906e-04
NAND2_X1,B_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,PVT_m3s,2.556396e-11,2.556408e-11,1.200000e-16,4.694108e-06
NAND2_X1,B_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,PVT_m3s,5.317776e-11,5.322896e-11,5.120000e-14,9.628085e-04
NAND2_X1,B_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,PVT_m3s,5.688009e-11,5.688032e-11,2.300000e-16,4.043594e-06
NAND2_X1,B_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,PVT_m3s,2.633793e-11,2.627116e-11,-6.677000e-14,-2.535127e-03
NAND2_X1,B_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,PVT_m3s,1.442010e-11,1.443322e-11,1.312000e-14,9.098411e-04
NAND2_X1,B_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,PVT_m3s,3.552234e-11,3.548895e-11,-3.339000e-14,-9.399719e-04
NAND2_X1,B_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,PVT_m3s,2.568752e-11,2.569039e-11,2.870000e-15,1.117274e-04
NAND2_X1,B_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,PVT_m3s,5.951652e-11,5.952971e-11,1.319000e-14,2.216191e-04
NAND2_X1,B_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,PVT_m3s,5.688009e-11,5.688028e-11,1.900000e-16,3.340360e-06
NAND2_X1,B_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,PVT_m3s,3.729160e-11,3.725247e-11,-3.913000e-14,-1.049298e-03
NAND2_X1,B_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,PVT_m3s,1.989446e-11,1.993372e-11,3.926000e-14,1.973414e-03
NAND2_X1,B_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,PVT_m3s,4.877420e-11,4.872855e-11,-4.565000e-14,-9.359456e-04
NAND2_X1,B_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,PVT_m3s,3.025369e-11,3.027835e-11,2.466000e-14,8.151072e-04
NAND2_X1,B_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,PVT_m3s,7.420764e-11,7.418760e-11,-2.004000e-14,-2.700531e-04
NAND2_X1,B_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,PVT_m3s,5.848897e-11,5.849320e-11,4.230000e-15,7.232133e-05
