cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,PVT_p3s,1.470415e-11,1.472755e-11,2.340000e-14,1.591387e-03
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,PVT_p3s,1.029284e-11,1.029266e-11,-1.800000e-16,-1.748788e-05
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,PVT_p3s,2.540853e-11,2.538369e-11,-2.484000e-14,-9.776244e-04
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,PVT_p3s,2.389741e-11,2.389738e-11,-3.000000e-17,-1.255366e-06
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,PVT_p3s,5.328358e-11,5.322390e-11,-5.968000e-14,-1.120045e-03
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,PVT_p3s,6.017713e-11,6.017703e-11,-1.000000e-16,-1.661761e-06
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,PVT_p3s,2.202089e-11,2.207517e-11,5.428000e-14,2.464932e-03
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,PVT_p3s,1.285186e-11,1.281225e-11,-3.961000e-14,-3.082044e-03
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,PVT_p3s,3.306038e-11,3.308542e-11,2.504000e-14,7.574021e-04
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,PVT_p3s,2.431095e-11,2.430498e-11,-5.970000e-15,-2.455684e-04
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,PVT_p3s,6.106910e-11,6.104522e-11,-2.388000e-14,-3.910325e-04
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,PVT_p3s,6.017707e-11,6.017705e-11,-2.000000e-17,-3.323525e-07
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,PVT_p3s,3.355257e-11,3.343023e-11,-1.223400e-13,-3.646218e-03
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,PVT_p3s,2.282545e-11,2.290500e-11,7.955000e-14,3.485145e-03
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,PVT_p3s,5.076944e-11,5.076510e-11,-4.340000e-15,-8.548450e-05
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,PVT_p3s,3.375328e-11,3.375370e-11,4.200000e-16,1.244324e-05
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,PVT_p3s,8.083652e-11,8.083537e-11,-1.150000e-15,-1.422624e-05
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,PVT_p3s,6.245970e-11,6.245998e-11,2.800000e-16,4.482891e-06
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,PVT_p3s,1.806795e-11,2.055965e-11,2.491700e-12,1.379072e-01
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,PVT_p3s,1.611505e-11,1.850614e-11,2.391090e-12,1.483762e-01
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,PVT_p3s,3.279435e-11,3.770091e-11,4.906560e-12,1.496160e-01
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,PVT_p3s,3.661626e-11,4.207891e-11,5.462650e-12,1.491865e-01
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,PVT_p3s,7.137842e-11,8.258747e-11,1.120905e-11,1.570370e-01
INV_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,PVT_p3s,9.128664e-11,1.049402e-10,1.365356e-11,1.495680e-01
INV_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,PVT_p3s,2.638431e-11,2.939228e-11,3.007970e-12,1.140060e-01
INV_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,PVT_p3s,1.816676e-11,1.959998e-11,1.433220e-12,7.889244e-02
INV_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,PVT_p3s,4.095798e-11,4.641213e-11,5.454150e-12,1.331645e-01
INV_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,PVT_p3s,3.661625e-11,4.207900e-11,5.462750e-12,1.491892e-01
INV_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,PVT_p3s,7.961634e-11,9.141944e-11,1.180310e-11,1.482497e-01
INV_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,PVT_p3s,9.128658e-11,1.049402e-10,1.365362e-11,1.495688e-01
INV_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,PVT_p3s,4.194191e-11,4.880832e-11,6.866410e-12,1.637124e-01
INV_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,PVT_p3s,3.004457e-11,3.077623e-11,7.316600e-13,2.435249e-02
INV_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,PVT_p3s,6.199059e-11,6.926347e-11,7.272880e-12,1.173223e-01
INV_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,PVT_p3s,4.426741e-11,4.708995e-11,2.822540e-12,6.376113e-02
INV_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,PVT_p3s,1.006885e-10,1.139731e-10,1.328460e-11,1.319376e-01
INV_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,PVT_p3s,9.181450e-11,1.049402e-10,1.312570e-11,1.429589e-01
NAND2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,PVT_p3s,1.674115e-11,1.674277e-11,1.620000e-15,9.676755e-05
NAND2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,PVT_p3s,1.379447e-11,1.379450e-11,3.000000e-17,2.174785e-06
NAND2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,PVT_p3s,2.582710e-11,2.579947e-11,-2.763000e-14,-1.069807e-03
NAND2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,PVT_p3s,2.556354e-11,2.556357e-11,3.000000e-17,1.173546e-06
NAND2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,PVT_p3s,4.971340e-11,4.966109e-11,-5.231000e-14,-1.052231e-03
NAND2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,PVT_p3s,5.688010e-11,5.688005e-11,-5.000000e-17,-8.790421e-07
NAND2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,PVT_p3s,2.374415e-11,2.377906e-11,3.491000e-14,1.470257e-03
NAND2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,PVT_p3s,1.577633e-11,1.575532e-11,-2.101000e-14,-1.331742e-03
NAND2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,PVT_p3s,3.291998e-11,3.293182e-11,1.184000e-14,3.596600e-04
NAND2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,PVT_p3s,2.601027e-11,2.600747e-11,-2.800000e-15,-1.076498e-04
NAND2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,PVT_p3s,5.689694e-11,5.687319e-11,-2.375000e-14,-4.174214e-04
NAND2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,PVT_p3s,5.687999e-11,5.687996e-11,-3.000000e-17,-5.274263e-07
NAND2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,PVT_p3s,3.500935e-11,3.490527e-11,-1.040800e-13,-2.972920e-03
NAND2_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,PVT_p3s,2.581075e-11,2.587489e-11,6.414000e-14,2.485011e-03
NAND2_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,PVT_p3s,4.898940e-11,4.896183e-11,-2.757000e-14,-5.627748e-04
NAND2_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,PVT_p3s,3.549512e-11,3.551312e-11,1.800000e-14,5.071120e-04
NAND2_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,PVT_p3s,7.518977e-11,7.517397e-11,-1.580000e-14,-2.101350e-04
NAND2_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,PVT_p3s,6.013124e-11,6.013795e-11,6.710000e-15,1.115893e-04
NAND2_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,PVT_p3s,2.434389e-11,2.785502e-11,3.511130e-12,1.442304e-01
NAND2_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,PVT_p3s,2.369471e-11,2.721880e-11,3.524090e-12,1.487290e-01
NAND2_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,PVT_p3s,3.927560e-11,4.523587e-11,5.960270e-12,1.517550e-01
NAND2_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,PVT_p3s,4.419603e-11,5.079167e-11,6.595640e-12,1.492360e-01
NAND2_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,PVT_p3s,7.810387e-11,9.040807e-11,1.230420e-11,1.575364e-01
