cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,SFG,1.470415e-11,1.671517e-11,2.011020e-12,1.367655e-01
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,SFG,1.029284e-11,1.193562e-11,1.642780e-12,1.596042e-01
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,SFG,2.540853e-11,2.925135e-11,3.842820e-12,1.512413e-01
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,SFG,2.389741e-11,2.771487e-11,3.817460e-12,1.597437e-01
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,SFG,5.328358e-11,6.172164e-11,8.438060e-12,1.583614e-01
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,SFG,6.017713e-11,6.979394e-11,9.616810e-12,1.598084e-01
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,SFG,2.202089e-11,2.500118e-11,2.980290e-12,1.353392e-01
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,SFG,1.285186e-11,1.353414e-11,6.822800e-13,5.308804e-02
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,SFG,3.306038e-11,3.754548e-11,4.485100e-12,1.356639e-01
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,SFG,2.431095e-11,2.774585e-11,3.434900e-12,1.412902e-01
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,SFG,6.106910e-11,7.021737e-11,9.148270e-12,1.498019e-01
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,SFG,6.017707e-11,6.979394e-11,9.616870e-12,1.598095e-01
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,SFG,3.355257e-11,4.108849e-11,7.535920e-12,2.246004e-01
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,SFG,2.282545e-11,2.332297e-11,4.975200e-13,2.179672e-02
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,SFG,5.076944e-11,5.866595e-11,7.896510e-12,1.555367e-01
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,SFG,3.375328e-11,3.474005e-11,9.867700e-13,2.923479e-02
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,SFG,8.083652e-11,9.186384e-11,1.102732e-11,1.364151e-01
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,SFG,6.245970e-11,7.053697e-11,8.077270e-12,1.293197e-01
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,SFG,1.806795e-11,1.527447e-11,-2.793480e-12,-1.546097e-01
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,SFG,1.611505e-11,1.323180e-11,-2.883250e-12,-1.789166e-01
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,SFG,3.279435e-11,2.718193e-11,-5.612420e-12,-1.711398e-01
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,SFG,3.661626e-11,3.004013e-11,-6.576130e-12,-1.795959e-01
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,SFG,7.137842e-11,5.846770e-11,-1.291072e-11,-1.808771e-01
INV_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,SFG,9.128664e-11,7.486229e-11,-1.642435e-11,-1.799206e-01
INV_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,SFG,2.638431e-11,2.266586e-11,-3.718450e-12,-1.409341e-01
INV_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,SFG,1.816676e-11,1.663596e-11,-1.530800e-12,-8.426379e-02
INV_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,SFG,4.095798e-11,3.477740e-11,-6.180580e-12,-1.509005e-01
INV_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,SFG,3.661625e-11,3.058725e-11,-6.029000e-12,-1.646537e-01
INV_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,SFG,7.961634e-11,6.610341e-11,-1.351293e-11,-1.697256e-01
INV_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,SFG,9.128658e-11,7.486228e-11,-1.642430e-11,-1.799202e-01
INV_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,SFG,4.194191e-11,3.309973e-11,-8.842180e-12,-2.108197e-01
INV_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,SFG,3.004457e-11,2.872038e-11,-1.324190e-12,-4.407419e-02
INV_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,SFG,6.199059e-11,5.236212e-11,-9.628470e-12,-1.553215e-01
INV_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,SFG,4.426741e-11,4.133762e-11,-2.929790e-12,-6.618390e-02
INV_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,SFG,1.006885e-10,8.553373e-11,-1.515477e-11,-1.505114e-01
INV_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,SFG,9.181450e-11,7.724957e-11,-1.456493e-11,-1.586343e-01
NAND2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,SFG,1.674115e-11,1.961772e-11,2.876570e-12,1.718263e-01
NAND2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,SFG,1.379447e-11,1.625562e-11,2.461150e-12,1.784157e-01
NAND2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,SFG,2.582710e-11,3.055086e-11,4.723760e-12,1.828994e-01
NAND2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,SFG,2.556354e-11,3.019256e-11,4.629020e-12,1.810790e-01
NAND2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,SFG,4.971340e-11,5.918367e-11,9.470270e-12,1.904973e-01
NAND2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,SFG,5.688010e-11,6.729547e-11,1.041537e-11,1.831110e-01
NAND2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,SFG,2.374415e-11,2.725912e-11,3.514970e-12,1.480352e-01
NAND2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,SFG,1.577633e-11,1.728776e-11,1.511430e-12,9.580365e-02
NAND2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,SFG,3.291998e-11,3.824804e-11,5.328060e-12,1.618488e-01
NAND2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,SFG,2.601027e-11,3.020511e-11,4.194840e-12,1.612763e-01
NAND2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,SFG,5.689694e-11,6.703794e-11,1.014100e-11,1.782345e-01
NAND2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,SFG,5.687999e-11,6.729549e-11,1.041550e-11,1.831136e-01
