cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,SS1,1.470415e-11,1.537068e-11,6.665300e-13,4.532938e-02
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,SS1,1.029284e-11,1.078511e-11,4.922700e-13,4.782645e-02
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,SS1,2.540853e-11,2.658049e-11,1.171960e-12,4.612467e-02
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,SS1,2.389741e-11,2.504176e-11,1.144350e-12,4.788594e-02
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,SS1,5.328358e-11,5.580046e-11,2.516880e-12,4.723556e-02
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,SS1,6.017713e-11,6.306040e-11,2.883270e-12,4.791305e-02
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,SS1,2.202089e-11,2.307080e-11,1.049910e-12,4.767791e-02
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,SS1,1.285186e-11,1.296823e-11,1.163700e-13,9.054720e-03
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,SS1,3.306038e-11,3.450118e-11,1.440800e-12,4.358087e-02
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,SS1,2.431095e-11,2.528740e-11,9.764500e-13,4.016503e-02
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,SS1,6.106910e-11,6.386558e-11,2.796480e-12,4.579206e-02
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,SS1,6.017707e-11,6.306035e-11,2.883280e-12,4.791327e-02
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,SS1,3.355257e-11,3.596331e-11,2.410740e-12,7.184964e-02
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,SS1,2.282545e-11,2.302472e-11,1.992700e-13,8.730167e-03
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,SS1,5.076944e-11,5.339366e-11,2.624220e-12,5.168897e-02
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,SS1,3.375328e-11,3.396235e-11,2.090700e-13,6.194065e-03
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,SS1,8.083652e-11,8.429229e-11,3.455770e-12,4.275011e-02
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,SS1,6.245970e-11,6.475623e-11,2.296530e-12,3.676819e-02
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,SS1,1.806795e-11,1.925410e-11,1.186150e-12,6.564940e-02
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,SS1,1.611505e-11,1.728956e-11,1.174510e-12,7.288280e-02
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,SS1,3.279435e-11,3.510211e-11,2.307760e-12,7.037066e-02
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,SS1,3.661626e-11,3.929472e-11,2.678460e-12,7.314947e-02
INV_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,SS1,7.137842e-11,7.663810e-11,5.259680e-12,7.368726e-02
INV_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,SS1,9.128664e-11,9.797561e-11,6.688970e-12,7.327436e-02
INV_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,SS1,2.638431e-11,2.772489e-11,1.340580e-12,5.080974e-02
INV_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,SS1,1.816676e-11,1.889298e-11,7.262200e-13,3.997521e-02
INV_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,SS1,4.095798e-11,4.345743e-11,2.499450e-12,6.102474e-02
INV_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,SS1,3.661625e-11,3.929465e-11,2.678400e-12,7.314785e-02
INV_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,SS1,7.961634e-11,8.509504e-11,5.478700e-12,6.881376e-02
INV_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,SS1,9.128658e-11,9.797564e-11,6.689060e-12,7.327539e-02
INV_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,SS1,4.194191e-11,4.474227e-11,2.800360e-12,6.676758e-02
INV_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,SS1,3.004457e-11,3.073108e-11,6.865100e-13,2.284972e-02
INV_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,SS1,6.199059e-11,6.523273e-11,3.242140e-12,5.230052e-02
INV_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,SS1,4.426741e-11,4.580644e-11,1.539030e-12,3.476666e-02
INV_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,SS1,1.006885e-10,1.066623e-10,5.973800e-12,5.932952e-02
INV_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,SS1,9.181450e-11,9.814320e-11,6.328700e-12,6.892920e-02
NAND2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,SS1,1.674115e-11,1.763886e-11,8.977100e-13,5.362296e-02
NAND2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,SS1,1.379447e-11,1.452582e-11,7.313500e-13,5.301762e-02
NAND2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,SS1,2.582710e-11,2.724581e-11,1.418710e-12,5.493106e-02
NAND2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,SS1,2.556354e-11,2.693869e-11,1.375150e-12,5.379341e-02
NAND2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,SS1,4.971340e-11,5.252003e-11,2.806630e-12,5.645621e-02
NAND2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,SS1,5.688010e-11,5.997517e-11,3.095070e-12,5.441393e-02
NAND2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,SS1,2.374415e-11,2.494402e-11,1.199870e-12,5.053329e-02
NAND2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,SS1,1.577633e-11,1.614589e-11,3.695600e-13,2.342497e-02
NAND2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,SS1,3.291998e-11,3.458844e-11,1.668460e-12,5.068229e-02
NAND2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,SS1,2.601027e-11,2.719779e-11,1.187520e-12,4.565581e-02
NAND2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,SS1,5.689694e-11,5.996427e-11,3.067330e-12,5.391028e-02
NAND2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,SS1,5.687999e-11,5.997521e-11,3.095220e-12,5.441668e-02
NAND2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,SS1,3.500935e-11,3.762950e-11,2.620150e-12,7.484144e-02
NAND2_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,SS1,2.581075e-11,2.617137e-11,3.606200e-13,1.397170e-02
NAND2_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,SS1,4.898940e-11,5.185832e-11,2.868920e-12,5.856206e-02
NAND2_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,SS1,3.549512e-11,3.599351e-11,4.983900e-13,1.404109e-02
NAND2_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,SS1,7.518977e-11,7.886894e-11,3.679170e-12,4.893179e-02
NAND2_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,SS1,6.013124e-11,6.249817e-11,2.366930e-12,3.936273e-02
NAND2_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,SS1,2.434389e-11,2.602079e-11,1.676900e-12,6.888381e-02
NAND2_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,SS1,2.369471e-11,2.542438e-11,1.729670e-12,7.299815e-02
NAND2_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,SS1,3.927560e-11,4.208036e-11,2.804760e-12,7.141228e-02
NAND2_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,SS1,4.419603e-11,4.742978e-11,3.233750e-12,7.316834e-02
NAND2_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,SS1,7.810387e-11,8.386351e-11,5.759640e-12,7.374334e-02
NAND2_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,SS1,9.886646e-11,1.061108e-10,7.244340e-12,7.327399e-02
NAND2_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,SS1,3.224924e-11,3.405094e-11,1.801700e-12,5.586798e-02
NAND2_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,SS1,2.436131e-11,2.579305e-11,1.431740e-12,5.877106e-02
NAND2_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,SS1,4.704226e-11,5.001689e-11,2.974630e-12,6.323314e-02
NAND2_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,SS1,4.419594e-11,4.742983e-11,3.233890e-12,7.317165e-02
NAND2_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,SS1,8.603645e-11,9.201081e-11,5.974360e-12,6.943987e-02
