cell,arc,meas,slew_idx,load_idx,slew,load,corner,v0,v_sim,dv,dv_rel
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,SSG,1.470415e-11,1.687470e-11,2.170550e-12,1.476148e-01
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,SSG,1.029284e-11,1.193553e-11,1.642690e-12,1.595954e-01
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,SSG,2.540853e-11,2.925791e-11,3.849380e-12,1.514995e-01
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,SSG,2.389741e-11,2.771473e-11,3.817320e-12,1.597378e-01
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,SSG,5.328358e-11,6.161207e-11,8.328490e-12,1.563050e-01
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,SSG,6.017713e-11,6.979367e-11,9.616540e-12,1.598039e-01
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,SSG,2.202089e-11,2.523195e-11,3.211060e-12,1.458188e-01
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,SSG,1.285186e-11,1.339135e-11,5.394900e-13,4.197758e-02
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,SSG,3.306038e-11,3.772384e-11,4.663460e-12,1.410589e-01
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,SSG,2.431095e-11,2.773231e-11,3.421360e-12,1.407333e-01
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,SSG,6.106910e-11,7.023513e-11,9.166030e-12,1.500928e-01
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,SSG,6.017707e-11,6.979365e-11,9.616580e-12,1.598047e-01
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,SSG,3.355257e-11,4.105192e-11,7.499350e-12,2.235104e-01
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,SSG,2.282545e-11,2.330964e-11,4.841900e-13,2.121273e-02
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,SSG,5.076944e-11,5.882474e-11,8.055300e-12,1.586643e-01
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,SSG,3.375328e-11,3.460721e-11,8.539300e-13,2.529917e-02
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,SSG,8.083652e-11,9.199292e-11,1.115640e-11,1.380119e-01
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,SSG,6.245970e-11,7.051205e-11,8.052350e-12,1.289207e-01
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,SSG,1.806795e-11,2.201785e-11,3.949900e-12,2.186136e-01
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,SSG,1.611505e-11,2.005626e-11,3.941210e-12,2.445670e-01
