cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,FFG,9,0.868027,0.800801,0.886246
INV_X1,A_f_ZN_r,FFG,9,0.837971,0.817574,0.868945
NAND2_X1,A_r_ZN_f,FFG,9,0.851802,0.793320,0.870646
NAND2_X1,A_f_ZN_r,FFG,9,0.840023,0.817907,0.873378
NAND2_X1,B_r_ZN_f,FFG,9,0.838886,0.780456,0.857477
NAND2_X1,B_f_ZN_r,FFG,9,0.841861,0.819123,0.869703
NOR2_X1,A_r_ZN_f,FFG,9,0.890483,0.882666,0.897386
NOR2_X1,A_f_ZN_r,FFG,9,0.811062,0.800973,0.824440
NOR2_X1,B_r_ZN_f,FFG,9,0.877451,0.840585,0.888195
NOR2_X1,B_f_ZN_r,FFG,9,0.814492,0.796975,0.836003
