cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,FSG,9,0.868986,0.792352,0.888650
INV_X1,A_f_ZN_r,FSG,9,1.204671,1.158953,1.244046
NAND2_X1,A_r_ZN_f,FSG,9,0.851895,0.786778,0.870647
NAND2_X1,A_f_ZN_r,FSG,9,1.205218,1.161964,1.245784
NAND2_X1,B_r_ZN_f,FSG,9,0.840916,0.785009,0.859563
NAND2_X1,B_f_ZN_r,FSG,9,1.219499,1.179391,1.251701
NOR2_X1,A_r_ZN_f,FSG,9,0.857782,0.833967,0.874554
NOR2_X1,A_f_ZN_r,FSG,9,1.240291,1.217966,1.268565
NOR2_X1,B_r_ZN_f,FSG,9,0.878286,0.838724,0.897407
NOR2_X1,B_f_ZN_r,FSG,9,1.233375,1.189290,1.271248
