cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,NU0_m3s,9,1.026176,1.022710,1.030705
INV_X1,A_f_ZN_r,NU0_m3s,9,1.000324,0.999266,1.001412
NAND2_X1,A_r_ZN_f,NU0_m3s,9,1.032783,1.027264,1.039820
NAND2_X1,A_f_ZN_r,NU0_m3s,9,1.000566,0.999582,1.001746
NAND2_X1,B_r_ZN_f,NU0_m3s,9,1.034238,1.030638,1.039755
NAND2_X1,B_f_ZN_r,NU0_m3s,9,0.999652,0.998925,0.999986
NOR2_X1,A_r_ZN_f,NU0_m3s,9,1.028323,1.022330,1.033154
NOR2_X1,A_f_ZN_r,NU0_m3s,9,1.000198,1.000056,1.000353
NOR2_X1,B_r_ZN_f,NU0_m3s,9,1.026032,1.021779,1.030878
NOR2_X1,B_f_ZN_r,NU0_m3s,9,1.000484,0.999612,1.001459
