cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,NVT_m3s,9,0.887785,0.815369,0.904550
INV_X1,A_f_ZN_r,NVT_m3s,9,1.000660,0.995360,1.011299
NAND2_X1,A_r_ZN_f,NVT_m3s,9,0.875935,0.811968,0.891745
NAND2_X1,A_f_ZN_r,NVT_m3s,9,1.000629,0.996107,1.009033
NAND2_X1,B_r_ZN_f,NVT_m3s,9,0.865033,0.804610,0.885195
NAND2_X1,B_f_ZN_r,NVT_m3s,9,1.006391,1.002702,1.012254
NOR2_X1,A_r_ZN_f,NVT_m3s,9,0.896158,0.884129,0.903230
NOR2_X1,A_f_ZN_r,NVT_m3s,9,0.999557,0.999004,1.000155
NOR2_X1,B_r_ZN_f,NVT_m3s,9,0.897026,0.856606,0.908732
NOR2_X1,B_f_ZN_r,NVT_m3s,9,0.999734,0.994714,1.008133
