cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,NVT_p1s,9,1.040130,1.034955,1.063142
INV_X1,A_f_ZN_r,NVT_p1s,9,0.999994,0.997364,1.001539
NAND2_X1,A_r_ZN_f,NVT_p1s,9,1.044686,1.039255,1.064551
NAND2_X1,A_f_ZN_r,NVT_p1s,9,1.000001,0.997889,1.001303
NAND2_X1,B_r_ZN_f,NVT_p1s,9,1.048562,1.042541,1.066949
NAND2_X1,B_f_ZN_r,NVT_p1s,9,0.997720,0.996204,0.998914
NOR2_X1,A_r_ZN_f,NVT_p1s,9,1.038329,1.035281,1.041167
NOR2_X1,A_f_ZN_r,NVT_p1s,9,1.000140,0.999942,1.000325
NOR2_X1,B_r_ZN_f,NVT_p1s,9,1.037380,1.033167,1.048913
NOR2_X1,B_f_ZN_r,NVT_p1s,9,1.000272,0.998248,1.001675
