cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,PU0_m3s,9,1.000988,1.000175,1.002402
INV_X1,A_f_ZN_r,PU0_m3s,9,1.057225,1.041574,1.075695
NAND2_X1,A_r_ZN_f,PU0_m3s,9,1.000781,1.000160,1.001651
NAND2_X1,A_f_ZN_r,PU0_m3s,9,1.058912,1.040733,1.076075
NAND2_X1,B_r_ZN_f,PU0_m3s,9,1.000782,1.000132,1.001490
NAND2_X1,B_f_ZN_r,PU0_m3s,9,1.061725,1.042096,1.076762
NOR2_X1,A_r_ZN_f,PU0_m3s,9,0.996302,0.991842,0.998785
NOR2_X1,A_f_ZN_r,PU0_m3s,9,1.068314,1.054288,1.081133
NOR2_X1,B_r_ZN_f,PU0_m3s,9,1.001724,0.999983,1.003379
NOR2_X1,B_f_ZN_r,PU0_m3s,9,1.065563,1.048832,1.081918
