cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,PVT_m3s,9,1.000808,0.997866,1.008307
INV_X1,A_f_ZN_r,PVT_m3s,9,0.880057,0.841798,0.901459
NAND2_X1,A_r_ZN_f,PVT_m3s,9,1.001033,0.998928,1.006721
NAND2_X1,A_f_ZN_r,PVT_m3s,9,0.883484,0.868251,0.901547
NAND2_X1,B_r_ZN_f,PVT_m3s,9,0.999514,0.997442,1.000967
NAND2_X1,B_f_ZN_r,PVT_m3s,9,0.881764,0.872128,0.897196
NOR2_X1,A_r_ZN_f,PVT_m3s,9,1.014557,1.006905,1.026907
NOR2_X1,A_f_ZN_r,PVT_m3s,9,0.861441,0.844812,0.871419
NOR2_X1,B_r_ZN_f,PVT_m3s,9,1.001598,0.998598,1.005264
NOR2_X1,B_f_ZN_r,PVT_m3s,9,0.863060,0.840977,0.879243
