cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,PVT_p3s,9,0.999899,0.996606,1.002546
INV_X1,A_f_ZN_r,PVT_p3s,9,1.138916,1.113604,1.162836
NAND2_X1,A_r_ZN_f,PVT_p3s,9,0.999558,0.997204,1.001524
NAND2_X1,A_f_ZN_r,PVT_p3s,9,1.137907,1.113099,1.157285
NAND2_X1,B_r_ZN_f,PVT_p3s,9,1.000469,0.998904,1.002271
NAND2_X1,B_f_ZN_r,PVT_p3s,9,1.140848,1.119832,1.158485
NOR2_X1,A_r_ZN_f,PVT_p3s,9,0.983936,0.970285,0.992267
NOR2_X1,A_f_ZN_r,PVT_p3s,9,1.161657,1.148443,1.173247
NOR2_X1,B_r_ZN_f,PVT_p3s,9,0.999268,0.996277,1.002567
NOR2_X1,B_f_ZN_r,PVT_p3s,9,1.158198,1.131123,1.175586
