cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,SFG,9,1.153956,1.134257,1.233966
INV_X1,A_f_ZN_r,SFG,9,0.838240,0.802215,0.871952
NAND2_X1,A_r_ZN_f,SFG,9,1.176993,1.150256,1.241500
NAND2_X1,A_f_ZN_r,SFG,9,0.840637,0.817296,0.869688
NAND2_X1,B_r_ZN_f,SFG,9,1.189018,1.172856,1.236147
NAND2_X1,B_f_ZN_r,SFG,9,0.830034,0.812649,0.857247
NOR2_X1,A_r_ZN_f,SFG,9,1.173559,1.149890,1.209219
NOR2_X1,A_f_ZN_r,SFG,9,0.812064,0.800790,0.826576
NOR2_X1,B_r_ZN_f,SFG,9,1.146317,1.123154,1.180531
NOR2_X1,B_f_ZN_r,SFG,9,0.816351,0.797706,0.842221
