cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,SS1,9,1.048937,1.042559,1.071483
INV_X1,A_f_ZN_r,SS1,9,1.062965,1.050386,1.073522
NAND2_X1,A_r_ZN_f,SS1,9,1.055542,1.048522,1.074609
NAND2_X1,A_f_ZN_r,SS1,9,1.062915,1.048605,1.073586
NAND2_X1,B_r_ZN_f,SS1,9,1.060335,1.054513,1.078904
NAND2_X1,B_f_ZN_r,SS1,9,1.061927,1.049402,1.072825
NOR2_X1,A_r_ZN_f,SS1,9,1.040911,1.038046,1.044346
NOR2_X1,A_f_ZN_r,SS1,9,1.073995,1.068059,1.080551
NOR2_X1,B_r_ZN_f,SS1,9,1.046108,1.042140,1.057263
NOR2_X1,B_f_ZN_r,SS1,9,1.072409,1.059458,1.081936
