cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,SSG,9,1.154969,1.135613,1.220947
INV_X1,A_f_ZN_r,SSG,9,1.204951,1.162947,1.244576
NAND2_X1,A_r_ZN_f,SSG,9,1.176942,1.154836,1.231262
NAND2_X1,A_f_ZN_r,SSG,9,1.206182,1.157055,1.244854
NAND2_X1,B_r_ZN_f,SSG,9,1.191974,1.175789,1.243357
NAND2_X1,B_f_ZN_r,SSG,9,1.202480,1.152937,1.241810
NOR2_X1,A_r_ZN_f,SSG,9,1.130256,1.120634,1.143790
NOR2_X1,A_f_ZN_r,SSG,9,1.241806,1.221121,1.268275
NOR2_X1,B_r_ZN_f,SSG,9,1.147321,1.134803,1.177917
NOR2_X1,B_f_ZN_r,SSG,9,1.236216,1.185716,1.272415
