cell,inst,model,group,w,l,nf,m,sigma_mm_vth,sigma_mm_u0
INV_X1,M1,nch,N,2.000000e-07,4.500000e-08,1.0,1.0,2.108185e-02,1.054093e-01
INV_X1,M2,pch,P,6.000000e-07,4.500000e-08,1.0,1.0,1.338877e-02,6.085806e-02
NAND2_X1,M1,nch,N,4.000000e-07,4.500000e-08,1.0,1.0,1.490712e-02,7.453560e-02
NAND2_X1,M2,nch,N,4.000000e-07,4.500000e-08,1.0,1.0,1.490712e-02,7.453560e-02
NAND2_X1,M3,pch,P,6.000000e-07,4.500000e-08,1.0,1.0,1.338877e-02,6.085806e-02
NAND2_X1,M4,pch,P,6.000000e-07,4.500000e-08,1.0,1.0,1.338877e-02,6.085806e-02
NOR2_X1,M1,nch,N,2.000000e-07,4.500000e-08,1.0,1.0,2.108185e-02,1.054093e-01
NOR2_X1,M2,nch,N,2.000000e-07,4.500000e-08,1.0,1.0,2.108185e-02,1.054093e-01
NOR2_X1,M3,pch,P,1.200000e-06,4.500000e-08,1.0,1.0,9.467293e-03,4.303315e-02
NOR2_X1,M4,pch,P,1.200000e-06,4.500000e-08,1.0,1.0,9.467293e-03,4.303315e-02
