cell,arc,meas,slew_idx,load_idx,slew,load,v0,group,param,ntr,g1,h2,g1_direct,h2_direct
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,1.470415e-11,N,vth,1,3.368100e-11,1.172000e-10,3.368100e-11,1.172000e-10
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,1.470415e-11,N,u0,1,-3.858750e-12,7.825000e-12,-3.858750e-12,7.825000e-12
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,1.470415e-11,P,vth,1,6.120000e-13,-3.800000e-12,6.120000e-13,-3.800000e-12
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,1.470415e-11,P,u0,1,-3.822500e-13,2.250000e-13,-3.822500e-13,2.250000e-13
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.029284e-11,N,vth,1,2.392600e-11,1.124000e-10,2.392600e-11,1.124000e-10
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.029284e-11,N,u0,1,-3.683250e-12,6.775000e-12,-3.683250e-12,6.775000e-12
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.029284e-11,P,vth,1,-2.500000e-15,-1.000000e-13,-2.500000e-15,-1.000000e-13
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.029284e-11,P,u0,1,1.250000e-15,-2.500000e-14,1.250000e-15,-2.500000e-14
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.540853e-11,N,vth,1,6.013000e-11,2.392000e-10,6.013000e-11,2.392000e-10
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.540853e-11,N,u0,1,-7.402500e-12,1.515000e-11,-7.402500e-12,1.515000e-11
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.540853e-11,P,vth,1,-4.600000e-13,-4.000000e-12,-4.600000e-13,-4.000000e-12
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.540853e-11,P,u0,1,-2.282500e-13,7.500000e-14,-2.282500e-13,7.500000e-14
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.389741e-11,N,vth,1,5.556250e-11,2.687000e-10,5.556250e-11,2.687000e-10
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.389741e-11,N,u0,1,-8.535250e-12,1.692500e-11,-8.535250e-12,1.692500e-11
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.389741e-11,P,vth,1,-1.000000e-15,0.000000e+00,-1.000000e-15,0.000000e+00
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.389741e-11,P,u0,1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,5.328358e-11,N,vth,1,1.282520e-10,5.566000e-10,1.282520e-10,5.566000e-10
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,5.328358e-11,N,u0,1,-1.658700e-11,3.445000e-11,-1.658700e-11,3.445000e-11
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,5.328358e-11,P,vth,1,-1.281000e-12,-2.000000e-12,-1.281000e-12,-2.000000e-12
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,5.328358e-11,P,u0,1,-1.027500e-13,2.500000e-14,-1.027500e-13,2.500000e-14
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,6.017713e-11,N,vth,1,1.399925e-10,6.801000e-10,1.399925e-10,6.801000e-10
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,6.017713e-11,N,u0,1,-2.149575e-11,4.482500e-11,-2.149575e-11,4.482500e-11
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,6.017713e-11,P,vth,1,-3.000000e-15,-1.292470e-22,-3.000000e-15,-1.292470e-22
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,6.017713e-11,P,u0,1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.202089e-11,N,vth,1,5.675550e-11,1.730000e-11,5.675550e-11,1.730000e-11
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.202089e-11,N,u0,1,-5.171000e-12,8.400000e-12,-5.171000e-12,8.400000e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.202089e-11,P,vth,1,1.040500e-12,9.100000e-12,1.040500e-12,9.100000e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.202089e-11,P,u0,1,-4.975000e-13,6.000000e-13,-4.975000e-13,6.000000e-13
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.285186e-11,N,vth,1,3.553000e-12,1.376000e-10,3.553000e-12,1.376000e-10
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.285186e-11,N,u0,1,-2.055750e-12,4.725000e-12,-2.055750e-12,4.725000e-12
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.285186e-11,P,vth,1,-7.600000e-13,-6.400000e-12,-7.600000e-13,-6.400000e-12
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.285186e-11,P,u0,1,3.595000e-13,-4.500000e-13,3.595000e-13,-4.500000e-13
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.306038e-11,N,vth,1,7.536050e-11,2.313000e-10,7.536050e-11,2.313000e-10
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.306038e-11,N,u0,1,-7.993000e-12,1.555000e-11,-7.993000e-12,1.555000e-11
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.306038e-11,P,vth,1,5.780000e-13,0.000000e+00,5.780000e-13,0.000000e+00
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.306038e-11,P,u0,1,-4.035000e-13,3.000000e-13,-4.035000e-13,3.000000e-13
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.431095e-11,N,vth,1,4.551750e-11,3.569000e-10,4.551750e-11,3.569000e-10
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.431095e-11,N,u0,1,-7.638000e-12,1.670000e-11,-7.638000e-12,1.670000e-11
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.431095e-11,P,vth,1,-1.375000e-13,-1.000000e-13,-1.375000e-13,-1.000000e-13
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.431095e-11,P,u0,1,9.600000e-14,-1.000000e-13,9.600000e-14,-1.000000e-13
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,6.106910e-11,N,vth,1,1.444260e-10,5.498000e-10,1.444260e-10,5.498000e-10
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,6.106910e-11,N,u0,1,-1.726525e-11,3.502500e-11,-1.726525e-11,3.502500e-11
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,6.106910e-11,P,vth,1,-4.660000e-13,-2.600000e-12,-4.660000e-13,-2.600000e-12
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,6.106910e-11,P,u0,1,-2.435000e-13,1.000000e-13,-2.435000e-13,1.000000e-13
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,6.017707e-11,N,vth,1,1.399920e-10,6.812000e-10,1.399920e-10,6.812000e-10
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,6.017707e-11,N,u0,1,-2.149500e-11,4.540000e-11,-2.149500e-11,4.540000e-11
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,6.017707e-11,P,vth,1,-3.000000e-15,1.292470e-22,-3.000000e-15,1.292470e-22
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,6.017707e-11,P,u0,1,-5.000000e-16,3.231174e-23,-5.000000e-16,3.231174e-23
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,3.355257e-11,N,vth,1,1.407660e-10,8.280000e-11,1.407660e-10,8.280000e-11
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,3.355257e-11,N,u0,1,-1.021325e-11,1.572500e-11,-1.021325e-11,1.572500e-11
