cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,1.470415e-11,8.186785e-13,5.567669e-02,7.101051e-13,4.074128e-13
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.029284e-11,6.365225e-13,6.184129e-02,5.044043e-13,3.882488e-13
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.540853e-11,1.488633e-12,5.858792e-02,1.267667e-12,7.804160e-13
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.389741e-11,1.477002e-12,6.180595e-02,1.171360e-12,8.996947e-13
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,5.328358e-11,3.219906e-12,6.042962e-02,2.703844e-12,1.748435e-12
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,6.017713e-11,3.720788e-12,6.183060e-02,2.951301e-12,2.265852e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.202089e-11,1.315238e-12,5.972685e-02,1.196592e-12,5.459117e-13
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.285186e-11,2.305419e-13,1.793841e-02,7.559181e-14,2.177968e-13
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.306038e-11,1.798505e-12,5.440063e-02,1.588758e-12,8.428943e-13
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.431095e-11,1.252625e-12,5.152512e-02,9.595949e-13,8.051374e-13
INV_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,6.106910e-11,3.547248e-12,5.808581e-02,3.044774e-12,1.819978e-12
INV_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,6.017707e-11,3.720731e-12,6.182972e-02,2.951290e-12,2.265773e-12
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,3.355257e-11,3.157411e-12,9.410339e-02,2.968180e-12,1.076639e-12
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,2.282545e-11,3.511749e-13,1.538523e-02,1.367384e-13,3.234601e-13
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,5.076944e-11,3.379475e-12,6.656513e-02,3.111076e-12,1.319869e-12
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,3.375328e-11,5.323800e-13,1.577269e-02,1.260587e-13,5.172404e-13
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,8.083652e-11,4.368144e-12,5.403677e-02,3.884975e-12,1.996912e-12
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,6.245970e-11,2.955889e-12,4.732474e-02,2.221637e-12,1.949772e-12
INV_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,1.806795e-11,9.647355e-13,5.339485e-02,6.736625e-13,6.905748e-13
INV_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,1.611505e-11,1.036581e-12,6.432380e-02,6.341122e-13,8.200015e-13
INV_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,3.279435e-11,1.936041e-12,5.903580e-02,1.313746e-12,1.422085e-12
INV_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,3.661626e-11,2.359805e-12,6.444690e-02,1.449508e-12,1.862150e-12
