cell,arc,meas,slew_idx,load_idx,slew,load,inst,group,param,delta,sigma_mm,v0,vplus,vminus,s1,s2
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,M1,N,vth,0.010,2.108185e-02,1.470415e-11,1.504682e-11,1.43732e-11,3.368100e-11,1.172000e-10
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,M1,N,u0,0.02,1.054093e-01,1.470415e-11,1.462854e-11,1.478289e-11,-3.858750e-12,7.825000e-12
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,M2,P,vth,0.010,1.338877e-02,1.470415e-11,1.471008e-11,1.469784e-11,6.120000e-13,-3.800000e-12
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,M2,P,u0,0.02,6.085806e-02,1.470415e-11,1.469655e-11,1.471184e-11,-3.822500e-13,2.250000e-13
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,GROUP:N,N,vth,0.010,,1.470415e-11,1.504682e-11,1.43732e-11,3.368100e-11,1.172000e-10
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,GROUP:N,N,u0,0.02,,1.470415e-11,1.462854e-11,1.478289e-11,-3.858750e-12,7.825000e-12
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,GROUP:P,P,vth,0.010,,1.470415e-11,1.471008e-11,1.469784e-11,6.120000e-13,-3.800000e-12
INV_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,GROUP:P,P,u0,0.02,,1.470415e-11,1.469655e-11,1.471184e-11,-3.822500e-13,2.250000e-13
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,M1,N,vth,0.010,2.108185e-02,1.029284e-11,1.053772e-11,1.00592e-11,2.392600e-11,1.124000e-10
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,M1,N,u0,0.02,1.054093e-01,1.029284e-11,1.022053e-11,1.036786e-11,-3.683250e-12,6.775000e-12
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,M2,P,vth,0.010,1.338877e-02,1.029284e-11,1.029281e-11,1.029286e-11,-2.500000e-15,-1.000000e-13
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,M2,P,u0,0.02,6.085806e-02,1.029284e-11,1.029286e-11,1.029281e-11,1.250000e-15,-2.500000e-14
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,GROUP:N,N,vth,0.010,,1.029284e-11,1.053772e-11,1.00592e-11,2.392600e-11,1.124000e-10
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,GROUP:N,N,u0,0.02,,1.029284e-11,1.022053e-11,1.036786e-11,-3.683250e-12,6.775000e-12
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,GROUP:P,P,vth,0.010,,1.029284e-11,1.029281e-11,1.029286e-11,-2.500000e-15,-1.000000e-13
INV_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,GROUP:P,P,u0,0.02,,1.029284e-11,1.029286e-11,1.029281e-11,1.250000e-15,-2.500000e-14
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,M1,N,vth,0.010,2.108185e-02,2.540853e-11,2.602179e-11,2.481919e-11,6.013000e-11,2.392000e-10
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,M1,N,u0,0.02,1.054093e-01,2.540853e-11,2.526351e-11,2.555961e-11,-7.402500e-12,1.515000e-11
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,M2,P,vth,0.010,1.338877e-02,2.540853e-11,2.540373e-11,2.541293e-11,-4.600000e-13,-4.000000e-12
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,M2,P,u0,0.02,6.085806e-02,2.540853e-11,2.540398e-11,2.541311e-11,-2.282500e-13,7.500000e-14
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,GROUP:N,N,vth,0.010,,2.540853e-11,2.602179e-11,2.481919e-11,6.013000e-11,2.392000e-10
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,GROUP:N,N,u0,0.02,,2.540853e-11,2.526351e-11,2.555961e-11,-7.402500e-12,1.515000e-11
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,GROUP:P,P,vth,0.010,,2.540853e-11,2.540373e-11,2.541293e-11,-4.600000e-13,-4.000000e-12
INV_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,GROUP:P,P,u0,0.02,,2.540853e-11,2.540398e-11,2.541311e-11,-2.282500e-13,7.500000e-14
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,M1,N,vth,0.010,2.108185e-02,2.389741e-11,2.446647e-11,2.335522e-11,5.556250e-11,2.687000e-10
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,M1,N,u0,0.02,1.054093e-01,2.389741e-11,2.373009e-11,2.40715e-11,-8.535250e-12,1.692500e-11
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,M2,P,vth,0.010,1.338877e-02,2.389741e-11,2.38974e-11,2.389742e-11,-1.000000e-15,0.000000e+00
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,M2,P,u0,0.02,6.085806e-02,2.389741e-11,2.389741e-11,2.389741e-11,0.000000e+00,0.000000e+00
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,GROUP:N,N,vth,0.010,,2.389741e-11,2.446647e-11,2.335522e-11,5.556250e-11,2.687000e-10
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,GROUP:N,N,u0,0.02,,2.389741e-11,2.373009e-11,2.40715e-11,-8.535250e-12,1.692500e-11
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,GROUP:P,P,vth,0.010,,2.389741e-11,2.38974e-11,2.389742e-11,-1.000000e-15,0.000000e+00
INV_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,GROUP:P,P,u0,0.02,,2.389741e-11,2.389741e-11,2.389741e-11,0.000000e+00,0.000000e+00
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,M1,N,vth,0.010,2.108185e-02,5.328358e-11,5.459393e-11,5.202889e-11,1.282520e-10,5.566000e-10
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,M1,N,u0,0.02,1.054093e-01,5.328358e-11,5.295873e-11,5.362221e-11,-1.658700e-11,3.445000e-11
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,M2,P,vth,0.010,1.338877e-02,5.328358e-11,5.327067e-11,5.329629e-11,-1.281000e-12,-2.000000e-12
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,M2,P,u0,0.02,6.085806e-02,5.328358e-11,5.328153e-11,5.328564e-11,-1.027500e-13,2.500000e-14
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,GROUP:N,N,vth,0.010,,5.328358e-11,5.459393e-11,5.202889e-11,1.282520e-10,5.566000e-10
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,GROUP:N,N,u0,0.02,,5.328358e-11,5.295873e-11,5.362221e-11,-1.658700e-11,3.445000e-11
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,GROUP:P,P,vth,0.010,,5.328358e-11,5.327067e-11,5.329629e-11,-1.281000e-12,-2.000000e-12
INV_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,GROUP:P,P,u0,0.02,,5.328358e-11,5.328153e-11,5.328564e-11,-1.027500e-13,2.500000e-14
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,M1,N,vth,0.010,2.108185e-02,6.017713e-11,6.161106e-11,5.881121e-11,1.399925e-10,6.801000e-10
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,M1,N,u0,0.02,1.054093e-01,6.017713e-11,5.975618e-11,6.061601e-11,-2.149575e-11,4.482500e-11
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,M2,P,vth,0.010,1.338877e-02,6.017713e-11,6.01771e-11,6.017716e-11,-3.000000e-15,-1.292470e-22
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,M2,P,u0,0.02,6.085806e-02,6.017713e-11,6.017713e-11,6.017713e-11,0.000000e+00,0.000000e+00
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,GROUP:N,N,vth,0.010,,6.017713e-11,6.161106e-11,5.881121e-11,1.399925e-10,6.801000e-10
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,GROUP:N,N,u0,0.02,,6.017713e-11,5.975618e-11,6.061601e-11,-2.149575e-11,4.482500e-11
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,GROUP:P,P,vth,0.010,,6.017713e-11,6.01771e-11,6.017716e-11,-3.000000e-15,-1.292470e-22
INV_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,GROUP:P,P,u0,0.02,,6.017713e-11,6.017713e-11,6.017713e-11,0.000000e+00,0.000000e+00
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,M1,N,vth,0.010,2.108185e-02,2.202089e-11,2.258931e-11,2.14542e-11,5.675550e-11,1.730000e-11
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,M1,N,u0,0.02,1.054093e-01,2.202089e-11,2.191915e-11,2.212599e-11,-5.171000e-12,8.400000e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,M2,P,vth,0.010,1.338877e-02,2.202089e-11,2.203175e-11,2.201094e-11,1.040500e-12,9.100000e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,M2,P,u0,0.02,6.085806e-02,2.202089e-11,2.201106e-11,2.203096e-11,-4.975000e-13,6.000000e-13
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,GROUP:N,N,vth,0.010,,2.202089e-11,2.258931e-11,2.14542e-11,5.675550e-11,1.730000e-11
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,GROUP:N,N,u0,0.02,,2.202089e-11,2.191915e-11,2.212599e-11,-5.171000e-12,8.400000e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,GROUP:P,P,vth,0.010,,2.202089e-11,2.203175e-11,2.201094e-11,1.040500e-12,9.100000e-12
INV_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,GROUP:P,P,u0,0.02,,2.202089e-11,2.201106e-11,2.203096e-11,-4.975000e-13,6.000000e-13
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,M1,N,vth,0.010,2.108185e-02,1.285186e-11,1.289427e-11,1.282321e-11,3.553000e-12,1.376000e-10
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,M1,N,u0,0.02,1.054093e-01,1.285186e-11,1.281169e-11,1.289392e-11,-2.055750e-12,4.725000e-12
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,M2,P,vth,0.010,1.338877e-02,1.285186e-11,1.284394e-11,1.285914e-11,-7.600000e-13,-6.400000e-12
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,M2,P,u0,0.02,6.085806e-02,1.285186e-11,1.285896e-11,1.284458e-11,3.595000e-13,-4.500000e-13
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,GROUP:N,N,vth,0.010,,1.285186e-11,1.289427e-11,1.282321e-11,3.553000e-12,1.376000e-10
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,GROUP:N,N,u0,0.02,,1.285186e-11,1.281169e-11,1.289392e-11,-2.055750e-12,4.725000e-12
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,GROUP:P,P,vth,0.010,,1.285186e-11,1.284394e-11,1.285914e-11,-7.600000e-13,-6.400000e-12
INV_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,GROUP:P,P,u0,0.02,,1.285186e-11,1.285896e-11,1.284458e-11,3.595000e-13,-4.500000e-13
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,M1,N,vth,0.010,2.108185e-02,3.306038e-11,3.382555e-11,3.231834e-11,7.536050e-11,2.313000e-10
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,M1,N,u0,0.02,1.054093e-01,3.306038e-11,3.290363e-11,3.322335e-11,-7.993000e-12,1.555000e-11
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,M2,P,vth,0.010,1.338877e-02,3.306038e-11,3.306616e-11,3.30546e-11,5.780000e-13,0.000000e+00
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,M2,P,u0,0.02,6.085806e-02,3.306038e-11,3.305237e-11,3.306851e-11,-4.035000e-13,3.000000e-13
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,GROUP:N,N,vth,0.010,,3.306038e-11,3.382555e-11,3.231834e-11,7.536050e-11,2.313000e-10
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,GROUP:N,N,u0,0.02,,3.306038e-11,3.290363e-11,3.322335e-11,-7.993000e-12,1.555000e-11
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,GROUP:P,P,vth,0.010,,3.306038e-11,3.306616e-11,3.30546e-11,5.780000e-13,0.000000e+00
INV_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,GROUP:P,P,u0,0.02,,3.306038e-11,3.305237e-11,3.306851e-11,-4.035000e-13,3.000000e-13
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,M1,N,vth,0.010,2.108185e-02,2.431095e-11,2.478397e-11,2.387362e-11,4.551750e-11,3.569000e-10
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,M1,N,u0,0.02,1.054093e-01,2.431095e-11,2.416153e-11,2.446705e-11,-7.638000e-12,1.670000e-11
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,M2,P,vth,0.010,1.338877e-02,2.431095e-11,2.430957e-11,2.431232e-11,-1.375000e-13,-1.000000e-13
INV_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,M2,P,u0,0.02,6.085806e-02,2.431095e-11,2.431285e-11,2.430901e-11,9.600000e-14,-1.000000e-13
