cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,FFG,1.470415e-11,1.297514e-11,-1.729010e-12,-1.175865e-01,-1.924875e-12,-1.510,11.33,-1.777455e-12,-0.373,2.8,-1.804208e-12,-0.580,4.35,-1.746934e-12,-0.138,1.04
INV_X1,A_r_ZN_f,trans,0,0,FFG,1.029284e-11,9.068808e-12,-1.224032e-12,-1.189207e-01,-1.407938e-12,-2.028,15.02,-1.266896e-12,-0.473,3.5,-1.315888e-12,-1.013,7.5,-1.246378e-12,-0.246,1.83
INV_X1,A_r_ZN_f,delay,0,1,FFG,2.540853e-11,2.240829e-11,-3.000240e-12,-1.180800e-01,-3.371918e-12,-1.659,12.39,-3.072116e-12,-0.321,2.4,-3.157755e-12,-0.703,5.25,-3.028675e-12,-0.127,0.95
INV_X1,A_r_ZN_f,trans,0,1,FFG,2.389741e-11,2.105216e-11,-2.845250e-12,-1.190610e-01,-3.268440e-12,-2.010,14.87,-2.927835e-12,-0.392,2.9,-3.054779e-12,-0.995,7.36,-2.881848e-12,-0.174,1.29
INV_X1,A_r_ZN_f,delay,0,2,FFG,5.328358e-11,4.692785e-11,-6.355730e-12,-1.192812e-01,-7.215772e-12,-1.833,13.53,-6.514616e-12,-0.339,2.5,-6.748513e-12,-0.837,6.18,-6.426313e-12,-0.150,1.11
INV_X1,A_r_ZN_f,trans,0,2,FFG,6.017713e-11,5.300893e-11,-7.168200e-12,-1.191183e-01,-8.234145e-12,-2.011,14.87,-7.364003e-12,-0.369,2.73,-7.695638e-12,-0.995,7.36,-7.249580e-12,-0.154,1.14
INV_X1,A_r_ZN_f,delay,1,0,FFG,2.202089e-11,1.904265e-11,-2.978240e-12,-1.352461e-01,-3.110985e-12,-0.697,4.46,-3.047805e-12,-0.365,2.34,-2.901227e-12,0.404,-2.59,-2.979158e-12,-0.005,0.03
INV_X1,A_r_ZN_f,trans,1,0,FFG,1.285186e-11,1.269992e-11,-1.519400e-13,-1.182241e-02,-2.783475e-13,-0.995,83.2,-1.281938e-13,0.187,-15.63,-2.753549e-13,-0.972,81.23,-1.299449e-13,0.173,-14.48
INV_X1,A_r_ZN_f,delay,1,1,FFG,3.306038e-11,2.928280e-11,-3.777580e-12,-1.142631e-01,-4.172918e-12,-1.350,10.47,-3.874534e-12,-0.331,2.57,-3.920302e-12,-0.487,3.78,-3.817349e-12,-0.136,1.05
INV_X1,A_r_ZN_f,trans,1,1,FFG,2.431095e-11,2.211276e-11,-2.198190e-12,-9.041975e-02,-2.720880e-12,-2.364,23.78,-2.292390e-12,-0.426,4.29,-2.574145e-12,-1.700,17.1,-2.274826e-12,-0.347,3.49
