cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,FSG,1.470415e-11,1.306557e-11,-1.638580e-12,-1.114366e-01,-1.800990e-12,-1.243,9.91,-1.653570e-12,-0.115,0.91,-1.695064e-12,-0.432,3.45,-1.637306e-12,0.010,-0.08
INV_X1,A_r_ZN_f,trans,0,0,FSG,1.029284e-11,9.068483e-12,-1.224357e-12,-1.189523e-01,-1.408387e-12,-2.029,15.03,-1.267346e-12,-0.474,3.51,-1.316280e-12,-1.014,7.51,-1.246774e-12,-0.247,1.83
INV_X1,A_r_ZN_f,delay,0,1,FSG,2.540853e-11,2.240036e-11,-3.008170e-12,-1.183921e-01,-3.372233e-12,-1.625,12.1,-3.072431e-12,-0.287,2.14,-3.158031e-12,-0.669,4.98,-3.028953e-12,-0.093,0.69
INV_X1,A_r_ZN_f,trans,0,1,FSG,2.389741e-11,2.105208e-11,-2.845330e-12,-1.190644e-01,-3.268530e-12,-2.010,14.87,-2.927925e-12,-0.392,2.9,-3.054858e-12,-0.995,7.36,-2.881927e-12,-0.174,1.29
INV_X1,A_r_ZN_f,delay,0,2,FSG,5.328358e-11,4.684020e-11,-6.443380e-12,-1.209262e-01,-7.312567e-12,-1.856,13.49,-6.611411e-12,-0.359,2.61,-6.832972e-12,-0.832,6.05,-6.511357e-12,-0.145,1.05
INV_X1,A_r_ZN_f,trans,0,2,FSG,6.017713e-11,5.300876e-11,-7.168370e-12,-1.191212e-01,-8.234415e-12,-2.011,14.87,-7.364273e-12,-0.370,2.73,-7.695873e-12,-0.995,7.36,-7.249818e-12,-0.154,1.14
INV_X1,A_r_ZN_f,delay,1,0,FSG,2.202089e-11,1.913549e-11,-2.885400e-12,-1.310301e-01,-2.927790e-12,-0.222,1.47,-2.864610e-12,0.109,-0.72,-2.741504e-12,0.752,-4.99,-2.820087e-12,0.341,-2.26
INV_X1,A_r_ZN_f,trans,1,0,FSG,1.285186e-11,1.262527e-11,-2.265900e-13,-1.763091e-02,-4.114575e-13,-1.464,81.59,-2.613038e-13,-0.275,15.32,-4.049407e-13,-1.413,78.71,-2.610290e-13,-0.273,15.2
INV_X1,A_r_ZN_f,delay,1,1,FSG,3.306038e-11,2.934886e-11,-3.711520e-12,-1.122649e-01,-4.048267e-12,-1.147,9.07,-3.749884e-12,-0.131,1.03,-3.810225e-12,-0.336,2.66,-3.706884e-12,0.016,-0.12
INV_X1,A_r_ZN_f,trans,1,1,FSG,2.431095e-11,2.208668e-11,-2.224270e-12,-9.149252e-02,-2.750535e-12,-2.383,23.66,-2.322045e-12,-0.443,4.4,-2.600643e-12,-1.704,16.92,-2.301690e-12,-0.351,3.48
INV_X1,A_r_ZN_f,delay,1,2,FSG,6.106910e-11,5.386390e-11,-7.205200e-12,-1.179844e-01,-8.052097e-12,-1.572,11.75,-7.355801e-12,-0.280,2.09,-7.543836e-12,-0.629,4.7,-7.253211e-12,-0.089,0.67
INV_X1,A_r_ZN_f,trans,1,2,FSG,6.017707e-11,5.300878e-11,-7.168290e-12,-1.191200e-01,-8.234280e-12,-2.011,14.87,-7.360695e-12,-0.363,2.68,-7.695755e-12,-0.995,7.36,-7.246667e-12,-0.148,1.09
INV_X1,A_r_ZN_f,delay,2,0,FSG,3.355257e-11,2.621225e-11,-7.340320e-12,-2.187707e-01,-7.431592e-12,-0.348,1.24,-7.198211e-12,0.542,-1.94,-6.666120e-12,2.572,-9.18,-6.967111e-12,1.424,-5.08
INV_X1,A_r_ZN_f,trans,2,0,FSG,2.282545e-11,2.241642e-11,-4.090300e-13,-1.791991e-02,-4.494825e-13,-0.180,9.89,-5.243062e-13,-0.514,28.18,-4.450858e-13,-0.161,8.81,-5.220033e-13,-0.504,27.62
INV_X1,A_r_ZN_f,delay,2,1,FSG,5.076944e-11,4.311846e-11,-7.650980e-12,-1.507005e-01,-7.763895e-12,-0.262,1.48,-7.596832e-12,0.126,-0.71,-7.199388e-12,1.047,-5.9,-7.438823e-12,0.492,-2.77
INV_X1,A_r_ZN_f,trans,2,1,FSG,3.375328e-11,3.309076e-11,-6.625200e-13,-1.962831e-02,-7.188975e-13,-0.170,8.51,-8.192362e-13,-0.474,23.65,-7.112958e-13,-0.147,7.36,-8.132567e-13,-0.456,22.75
