cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,NU0_m3s,1.470415e-11,1.508555e-11,3.814000e-13,2.593826e-02,3.472875e-13,-0.226,-8.94,3.789788e-13,-0.016,-0.63,3.514212e-13,-0.199,-7.86,3.796971e-13,-0.011,-0.45
INV_X1,A_r_ZN_f,trans,0,0,NU0_m3s,1.029284e-11,1.065751e-11,3.646700e-13,3.542948e-02,3.314925e-13,-0.311,-9.1,3.589313e-13,-0.054,-1.57,3.368883e-13,-0.261,-7.62,3.597369e-13,-0.046,-1.35
INV_X1,A_r_ZN_f,delay,0,1,NU0_m3s,2.540853e-11,2.614195e-11,7.334200e-13,2.886511e-02,6.662250e-13,-0.257,-9.16,7.275825e-13,-0.022,-0.8,6.750362e-13,-0.223,-7.96,7.291134e-13,-0.016,-0.59
INV_X1,A_r_ZN_f,trans,0,1,NU0_m3s,2.389741e-11,2.474496e-11,8.475500e-13,3.546619e-02,7.681725e-13,-0.321,-9.37,8.367187e-13,-0.044,-1.28,7.806522e-13,-0.270,-7.89,8.387563e-13,-0.036,-1.04
INV_X1,A_r_ZN_f,delay,0,2,NU0_m3s,5.328358e-11,5.492936e-11,1.645780e-12,3.088719e-02,1.492830e-12,-0.278,-9.29,1.632353e-12,-0.024,-0.82,1.513939e-12,-0.240,-8.01,1.636055e-12,-0.018,-0.59
INV_X1,A_r_ZN_f,trans,0,2,NU0_m3s,6.017713e-11,6.231188e-11,2.134750e-12,3.547444e-02,1.934617e-12,-0.321,-9.38,2.116159e-12,-0.030,-0.87,1.966051e-12,-0.271,-7.9,2.121604e-12,-0.021,-0.62
INV_X1,A_r_ZN_f,delay,1,0,NU0_m3s,2.202089e-11,2.252341e-11,5.025200e-13,2.282015e-02,4.653900e-13,-0.165,-7.39,4.994100e-13,-0.014,-0.62,4.703426e-13,-0.143,-6.4,5.000861e-13,-0.011,-0.48
INV_X1,A_r_ZN_f,trans,1,0,NU0_m3s,1.285186e-11,1.306009e-11,2.082300e-13,1.620232e-02,1.850175e-13,-0.178,-11.15,2.041537e-13,-0.031,-1.96,1.863557e-13,-0.167,-10.5,2.044309e-13,-0.029,-1.82
INV_X1,A_r_ZN_f,delay,1,1,NU0_m3s,3.306038e-11,3.384856e-11,7.881800e-13,2.384062e-02,7.193700e-13,-0.203,-8.73,7.823475e-13,-0.017,-0.74,7.272536e-13,-0.180,-7.73,7.836648e-13,-0.013,-0.57
INV_X1,A_r_ZN_f,trans,1,1,NU0_m3s,2.431095e-11,2.507508e-11,7.641300e-13,3.143152e-02,6.874200e-13,-0.306,-10.04,7.550550e-13,-0.036,-1.19,6.972310e-13,-0.267,-8.75,7.568793e-13,-0.029,-0.95
INV_X1,A_r_ZN_f,delay,1,2,NU0_m3s,6.106910e-11,6.277825e-11,1.709150e-12,2.798715e-02,1.553872e-12,-0.247,-9.09,1.695724e-12,-0.021,-0.79,1.573810e-12,-0.216,-7.92,1.699164e-12,-0.016,-0.58
INV_X1,A_r_ZN_f,trans,1,2,NU0_m3s,6.017707e-11,6.231187e-11,2.134800e-12,3.547531e-02,1.934550e-12,-0.321,-9.38,2.118420e-12,-0.026,-0.77,1.965982e-12,-0.271,-7.91,2.123947e-12,-0.017,-0.51
INV_X1,A_r_ZN_f,delay,2,0,NU0_m3s,3.355257e-11,3.453999e-11,9.874200e-13,2.942904e-02,9.191925e-13,-0.198,-6.91,9.828787e-13,-0.013,-0.46,9.318992e-13,-0.161,-5.62,9.844537e-13,-0.009,-0.3
INV_X1,A_r_ZN_f,trans,2,0,NU0_m3s,2.282545e-11,2.312778e-11,3.023300e-13,1.324530e-02,2.758950e-13,-0.114,-8.74,2.975625e-13,-0.021,-1.58,2.775691e-13,-0.107,-8.19,2.978213e-13,-0.019,-1.49
INV_X1,A_r_ZN_f,delay,2,1,NU0_m3s,5.076944e-11,5.198363e-11,1.214190e-12,2.391577e-02,1.126710e-12,-0.168,-7.2,1.208115e-12,-0.012,-0.5,1.139305e-12,-0.144,-6.17,1.209802e-12,-0.008,-0.36
INV_X1,A_r_ZN_f,trans,2,1,NU0_m3s,3.375328e-11,3.422961e-11,4.763300e-13,1.411211e-02,4.412025e-13,-0.103,-7.37,4.822087e-13,0.017,1.23,4.440987e-13,-0.094,-6.77,4.827448e-13,0.019,1.35
INV_X1,A_r_ZN_f,delay,2,2,NU0_m3s,8.083652e-11,8.270266e-11,1.866140e-12,2.308536e-02,1.704892e-12,-0.195,-8.64,1.852616e-12,-0.016,-0.72,1.722998e-12,-0.173,-7.67,1.855615e-12,-0.013,-0.56
INV_X1,A_r_ZN_f,trans,2,2,NU0_m3s,6.245970e-11,6.431062e-11,1.850920e-12,2.963383e-02,1.664730e-12,-0.290,-10.06,1.834223e-12,-0.026,-0.9,1.687113e-12,-0.255,-8.85,1.838578e-12,-0.019,-0.67
INV_X1,A_f_ZN_r,delay,0,0,NU0_m3s,1.806795e-11,1.809346e-11,2.551000e-14,1.411892e-03,2.418750e-14,-0.007,-5.18,2.550375e-14,-0.000,-0.02,2.420370e-14,-0.007,-5.12,2.550555e-14,-0.000,-0.02
INV_X1,A_f_ZN_r,trans,0,0,NU0_m3s,1.611505e-11,1.611511e-11,6.000000e-17,3.723228e-06,9.000000e-17,0.000,,9.000000e-17,0.000,,9.000025e-17,0.000,,9.000000e-17,0.000,
INV_X1,A_f_ZN_r,delay,0,1,NU0_m3s,3.279435e-11,3.281374e-11,1.939000e-14,5.912604e-04,1.858500e-14,-0.002,-4.15,1.939500e-14,0.000,0.03,1.859027e-14,-0.002,-4.12,1.939547e-14,0.000,0.03
INV_X1,A_f_ZN_r,trans,0,1,NU0_m3s,3.661626e-11,3.661628e-11,2.000000e-17,5.462054e-07,2.250000e-17,0.000,,-7.875000e-17,-0.000,,2.250001e-17,0.000,,-7.874992e-17,-0.000,
INV_X1,A_f_ZN_r,delay,0,2,NU0_m3s,7.137842e-11,7.138851e-11,1.009000e-14,1.413593e-04,9.765000e-15,-0.000,-3.22,1.017000e-14,0.000,0.79,9.765668e-15,-0.000,-3.21,1.017006e-14,0.000,0.79
INV_X1,A_f_ZN_r,trans,0,2,NU0_m3s,9.128664e-11,9.128661e-11,-3.000000e-17,-3.286352e-07,-2.250000e-17,0.000,,-1.237500e-16,-0.000,,-2.250000e-17,0.000,,-1.237499e-16,-0.000,
INV_X1,A_f_ZN_r,delay,1,0,NU0_m3s,2.638431e-11,2.639925e-11,1.494000e-14,5.662456e-04,1.372500e-14,-0.005,-8.13,1.494000e-14,-0.000,-0.0,1.372857e-14,-0.005,-8.11,1.494066e-14,0.000,0.0
INV_X1,A_f_ZN_r,trans,1,0,NU0_m3s,1.816676e-11,1.815501e-11,-1.175000e-14,-6.467857e-04,-1.077750e-14,0.005,-8.28,-1.168875e-14,0.000,-0.52,-1.077430e-14,0.005,-8.3,-1.168819e-14,0.000,-0.53
INV_X1,A_f_ZN_r,delay,1,1,NU0_m3s,4.095798e-11,4.098155e-11,2.357000e-14,5.754678e-04,2.216250e-14,-0.003,-5.97,2.347875e-14,-0.000,-0.39,2.216850e-14,-0.003,-5.95,2.347948e-14,-0.000,-0.38
INV_X1,A_f_ZN_r,trans,1,1,NU0_m3s,3.661625e-11,3.661628e-11,3.000000e-17,8.193084e-07,2.250000e-17,-0.000,,1.237500e-16,0.000,,2.250001e-17,-0.000,,1.237502e-16,0.000,
INV_X1,A_f_ZN_r,delay,1,2,NU0_m3s,7.961634e-11,7.963610e-11,1.976000e-14,2.481903e-04,1.890000e-14,-0.001,-4.35,1.971000e-14,-0.000,-0.25,1.890224e-14,-0.001,-4.34,1.971020e-14,-0.000,-0.25
INV_X1,A_f_ZN_r,trans,1,2,NU0_m3s,9.128658e-11,9.128658e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000,,0.000000e+00,0.000,,0.000000e+00,0.000,,0.000000e+00,0.000,
INV_X1,A_f_ZN_r,delay,2,0,NU0_m3s,4.194191e-11,4.191115e-11,-3.076000e-14,-7.333953e-04,-3.078000e-14,-0.000,0.07,-3.078000e-14,-0.000,0.07,-3.076871e-14,-0.000,0.03,-3.077999e-14,-0.000,0.06
INV_X1,A_f_ZN_r,trans,2,0,NU0_m3s,3.004457e-11,3.007449e-11,2.992000e-14,9.958538e-04,2.985750e-14,-0.000,-0.21,2.975625e-14,-0.001,-0.55,2.987234e-14,-0.000,-0.16,2.975614e-14,-0.001,-0.55
