cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,NVT_m3s,1.470415e-11,1.329732e-11,-1.406830e-12,-9.567571e-02,-1.515645e-12,-0.818,7.73,-1.396980e-12,0.074,-0.7,-1.440148e-12,-0.251,2.37,-1.403517e-12,0.025,-0.24
INV_X1,A_r_ZN_f,trans,0,0,NVT_m3s,1.029284e-11,9.324600e-12,-9.682400e-13,-9.406928e-02,-1.076670e-12,-1.163,11.2,-9.628650e-13,0.058,-0.56,-1.022271e-12,-0.579,5.58,-9.703434e-13,-0.023,0.22
INV_X1,A_r_ZN_f,delay,0,1,NVT_m3s,2.540853e-11,2.292397e-11,-2.484560e-12,-9.778448e-02,-2.705850e-12,-0.965,8.91,-2.463660e-12,0.091,-0.84,-2.566753e-12,-0.359,3.31,-2.478382e-12,0.027,-0.25
INV_X1,A_r_ZN_f,trans,0,1,NVT_m3s,2.389741e-11,2.164633e-11,-2.251080e-12,-9.419766e-02,-2.500313e-12,-1.151,11.07,-2.228254e-12,0.105,-1.01,-2.373957e-12,-0.568,5.46,-2.246354e-12,0.022,-0.21
INV_X1,A_r_ZN_f,delay,0,2,NVT_m3s,5.328358e-11,4.802738e-11,-5.256200e-12,-9.864577e-02,-5.771340e-12,-1.073,9.8,-5.207782e-12,0.101,-0.92,-5.469768e-12,-0.445,4.06,-5.244003e-12,0.025,-0.23
INV_X1,A_r_ZN_f,trans,0,2,NVT_m3s,6.017713e-11,5.450557e-11,-5.671560e-12,-9.424776e-02,-6.299662e-12,-1.152,11.07,-5.611061e-12,0.111,-1.07,-5.981133e-12,-0.568,5.46,-5.656975e-12,0.027,-0.26
INV_X1,A_r_ZN_f,delay,1,0,NVT_m3s,2.202089e-11,1.948584e-11,-2.535050e-12,-1.151202e-01,-2.553997e-12,-0.097,0.75,-2.536481e-12,-0.007,0.06,-2.411454e-12,0.634,-4.88,-2.527400e-12,0.039,-0.3
INV_X1,A_r_ZN_f,trans,1,0,NVT_m3s,1.285186e-11,1.281017e-11,-4.169000e-14,-3.243888e-03,-1.598850e-13,-0.923,283.51,-2.056500e-14,0.165,-50.67,-1.588946e-13,-0.915,281.13,-2.154146e-14,0.157,-48.33
INV_X1,A_r_ZN_f,delay,1,1,NVT_m3s,3.306038e-11,2.988374e-11,-3.176640e-12,-9.608601e-02,-3.391222e-12,-0.718,6.75,-3.157031e-12,0.066,-0.62,-3.223090e-12,-0.155,1.46,-3.168654e-12,0.027,-0.25
INV_X1,A_r_ZN_f,trans,1,1,NVT_m3s,2.431095e-11,2.259362e-11,-1.717330e-12,-7.064018e-02,-2.048287e-12,-1.465,19.27,-1.686926e-12,0.135,-1.77,-1.964373e-12,-1.093,14.39,-1.710090e-12,0.032,-0.42
INV_X1,A_r_ZN_f,delay,1,2,NVT_m3s,6.106910e-11,5.507891e-11,-5.990190e-12,-9.808872e-02,-6.499170e-12,-0.924,8.5,-5.942497e-12,0.087,-0.8,-6.165287e-12,-0.318,2.92,-5.975404e-12,0.027,-0.25
INV_X1,A_r_ZN_f,trans,1,2,NVT_m3s,6.017707e-11,5.450553e-11,-5.671540e-12,-9.424753e-02,-6.299640e-12,-1.152,11.07,-5.609925e-12,0.113,-1.09,-5.981112e-12,-0.568,5.46,-5.655943e-12,0.029,-0.28
INV_X1,A_r_ZN_f,delay,2,0,NVT_m3s,3.355257e-11,2.730706e-11,-6.245510e-12,-1.861410e-01,-6.334470e-12,-0.326,1.42,-6.250635e-12,-0.019,0.08,-5.772439e-12,1.732,-7.57,-6.194860e-12,0.185,-0.81
INV_X1,A_r_ZN_f,trans,2,0,NVT_m3s,2.282545e-11,2.251075e-11,-3.147000e-13,-1.378724e-02,-2.802825e-13,0.153,-10.94,-3.210862e-13,-0.028,2.03,-2.785687e-13,0.161,-11.48,-3.205352e-13,-0.026,1.85
INV_X1,A_r_ZN_f,delay,2,1,NVT_m3s,5.076944e-11,4.418057e-11,-6.588870e-12,-1.297802e-01,-6.640672e-12,-0.117,0.79,-6.592781e-12,-0.009,0.06,-6.224703e-12,0.824,-5.53,-6.562450e-12,0.060,-0.4
INV_X1,A_r_ZN_f,trans,2,1,NVT_m3s,3.375328e-11,3.344108e-11,-3.122000e-13,-9.249471e-03,-2.686275e-13,0.130,-13.96,-3.805087e-13,-0.204,21.88,-2.675614e-13,0.133,-14.3,-3.794289e-13,-0.201,21.53
INV_X1,A_r_ZN_f,delay,2,2,NVT_m3s,8.083652e-11,7.304153e-11,-7.794990e-12,-9.642906e-02,-8.292622e-12,-0.681,6.38,-7.748606e-12,0.064,-0.6,-7.881452e-12,-0.118,1.11,-7.774277e-12,0.028,-0.27
INV_X1,A_r_ZN_f,trans,2,2,NVT_m3s,6.245970e-11,5.850757e-11,-3.952130e-12,-6.327488e-02,-4.742167e-12,-1.350,19.99,-3.872329e-12,0.136,-2.02,-4.566617e-12,-1.050,15.55,-3.923690e-12,0.049,-0.72
INV_X1,A_f_ZN_r,delay,0,0,NVT_m3s,1.806795e-11,1.798436e-11,-8.359000e-14,-4.626424e-03,-8.354250e-14,0.000,-0.06,-8.384625e-14,-0.001,0.31,-8.334966e-14,0.001,-0.29,-8.384425e-14,-0.001,0.3
INV_X1,A_f_ZN_r,trans,0,0,NVT_m3s,1.611505e-11,1.611509e-11,4.000000e-17,2.482152e-06,-2.475000e-16,-0.002,,-5.512500e-16,-0.004,,-2.474981e-16,-0.002,,-5.512425e-16,-0.004,
