cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,NVT_p1s,1.470415e-11,1.522280e-11,5.186500e-13,3.527236e-02,5.052150e-13,-0.088,-2.59,5.184000e-13,-0.002,-0.05,5.139945e-13,-0.031,-0.9,5.186585e-13,0.000,0.0
INV_X1,A_r_ZN_f,trans,0,0,NVT_p1s,1.029284e-11,1.066456e-11,3.717200e-13,3.611443e-02,3.588900e-13,-0.120,-3.45,3.715350e-13,-0.002,-0.05,3.652202e-13,-0.061,-1.75,3.718371e-13,0.001,0.03
INV_X1,A_r_ZN_f,delay,0,1,NVT_p1s,2.540853e-11,2.633789e-11,9.293600e-13,3.657669e-02,9.019500e-13,-0.104,-2.95,9.288600e-13,-0.002,-0.05,9.181498e-13,-0.043,-1.21,9.294475e-13,0.000,0.01
INV_X1,A_r_ZN_f,trans,0,1,NVT_p1s,2.389741e-11,2.476186e-11,8.644500e-13,3.617338e-02,8.334375e-13,-0.125,-3.59,8.636662e-13,-0.003,-0.09,8.481413e-13,-0.066,-1.89,8.643991e-13,-0.000,-0.01
INV_X1,A_r_ZN_f,delay,0,2,NVT_p1s,5.328358e-11,5.527116e-11,1.987580e-12,3.730192e-02,1.923780e-12,-0.115,-3.21,1.986397e-12,-0.002,-0.06,1.958930e-12,-0.052,-1.44,1.987852e-12,0.000,0.01
INV_X1,A_r_ZN_f,trans,0,2,NVT_p1s,6.017713e-11,6.235496e-11,2.177830e-12,3.619033e-02,2.099888e-12,-0.125,-3.58,2.176399e-12,-0.002,-0.07,2.136955e-12,-0.066,-1.88,2.178258e-12,0.001,0.02
INV_X1,A_r_ZN_f,delay,1,0,NVT_p1s,2.202089e-11,2.287417e-11,8.532800e-13,3.874866e-02,8.513325e-13,-0.009,-0.23,8.532787e-13,-0.000,-0.0,8.680030e-13,0.064,1.73,8.529259e-13,-0.002,-0.04
INV_X1,A_r_ZN_f,trans,1,0,NVT_p1s,1.285186e-11,1.292104e-11,6.918000e-14,5.382878e-03,5.329500e-14,-0.123,-22.96,6.877500e-14,-0.003,-0.59,5.340566e-14,-0.122,-22.8,6.884825e-14,-0.003,-0.48
INV_X1,A_r_ZN_f,delay,1,1,NVT_p1s,3.306038e-11,3.421734e-11,1.156960e-12,3.499536e-02,1.130407e-12,-0.078,-2.3,1.156429e-12,-0.002,-0.05,1.149955e-12,-0.020,-0.61,1.156885e-12,-0.000,-0.01
INV_X1,A_r_ZN_f,trans,1,1,NVT_p1s,2.431095e-11,2.503519e-11,7.242400e-13,2.979069e-02,6.827625e-13,-0.166,-5.73,7.229137e-13,-0.005,-0.18,6.924404e-13,-0.127,-4.39,7.238944e-13,-0.001,-0.05
INV_X1,A_r_ZN_f,delay,1,2,NVT_p1s,6.106910e-11,6.329850e-11,2.229400e-12,3.650619e-02,2.166390e-12,-0.100,-2.83,2.228243e-12,-0.002,-0.05,2.205274e-12,-0.038,-1.08,2.229552e-12,0.000,0.01
