cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,PU0_m3s,1.470415e-11,1.473956e-11,3.541000e-14,2.408164e-03,3.440250e-14,-0.007,-2.85,3.531375e-14,-0.001,-0.27,3.444278e-14,-0.007,-2.73,3.531585e-14,-0.001,-0.27
INV_X1,A_r_ZN_f,trans,0,0,PU0_m3s,1.029284e-11,1.029264e-11,-2.000000e-16,-1.943098e-05,-1.125000e-16,0.001,,-2.137500e-16,-0.000,,-1.124994e-16,0.001,,-2.137484e-16,-0.000,
INV_X1,A_r_ZN_f,delay,0,1,PU0_m3s,2.540853e-11,2.542937e-11,2.084000e-14,8.201970e-04,2.054250e-14,-0.001,-1.43,2.084625e-14,0.000,0.03,2.055081e-14,-0.001,-1.39,2.084649e-14,0.000,0.03
INV_X1,A_r_ZN_f,trans,0,1,PU0_m3s,2.389741e-11,2.389740e-11,-1.000000e-17,-4.184554e-07,0.000000e+00,0.000,,0.000000e+00,0.000,,0.000000e+00,0.000,,0.000000e+00,0.000,
INV_X1,A_r_ZN_f,delay,0,2,PU0_m3s,5.328358e-11,5.329291e-11,9.330000e-15,1.751008e-04,9.247500e-15,-0.000,-0.88,9.348750e-15,0.000,0.2,9.248303e-15,-0.000,-0.88,9.348768e-15,0.000,0.2
INV_X1,A_r_ZN_f,trans,0,2,PU0_m3s,6.017713e-11,6.017713e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000,,0.000000e+00,0.000,,0.000000e+00,0.000,,0.000000e+00,0.000,
INV_X1,A_r_ZN_f,delay,1,0,PU0_m3s,2.202089e-11,2.206814e-11,4.725000e-14,2.145690e-03,4.477500e-14,-0.011,-5.24,4.720500e-14,-0.000,-0.1,4.482055e-14,-0.011,-5.14,4.721001e-14,-0.000,-0.08
INV_X1,A_r_ZN_f,trans,1,0,PU0_m3s,1.285186e-11,1.281767e-11,-3.419000e-14,-2.660315e-03,-3.235500e-14,0.014,-5.37,-3.417750e-14,0.000,-0.04,-3.231431e-14,0.015,-5.49,-3.417271e-14,0.000,-0.05
INV_X1,A_r_ZN_f,delay,1,1,PU0_m3s,3.306038e-11,3.309787e-11,3.749000e-14,1.133986e-03,3.631500e-14,-0.004,-3.13,3.753000e-14,0.000,0.11,3.633495e-14,-0.003,-3.08,3.753134e-14,0.000,0.11
INV_X1,A_r_ZN_f,trans,1,1,PU0_m3s,2.431095e-11,2.430200e-11,-8.950000e-15,-3.681469e-04,-8.640000e-15,0.001,-3.46,-9.045000e-15,-0.000,1.06,-8.638465e-15,0.001,-3.48,-9.044852e-15,-0.000,1.06
INV_X1,A_r_ZN_f,delay,1,2,PU0_m3s,6.106910e-11,6.109136e-11,2.226000e-14,3.645051e-04,2.191500e-14,-0.001,-1.55,2.232000e-14,0.000,0.27,2.191893e-14,-0.001,-1.53,2.232015e-14,0.000,0.27
INV_X1,A_r_ZN_f,trans,1,2,PU0_m3s,6.017707e-11,6.017710e-11,3.000000e-17,4.985288e-07,4.500000e-17,0.000,,4.500000e-17,0.000,,4.500002e-17,0.000,,4.500000e-17,0.000,
INV_X1,A_r_ZN_f,delay,2,0,PU0_m3s,3.355257e-11,3.357422e-11,2.165000e-14,6.452561e-04,1.788750e-14,-0.011,-17.38,2.143125e-14,-0.001,-1.01,1.789227e-14,-0.011,-17.36,2.143332e-14,-0.001,-1.0
INV_X1,A_r_ZN_f,trans,2,0,PU0_m3s,2.282545e-11,2.280032e-11,-2.513000e-14,-1.100964e-03,-2.153250e-14,0.016,-14.32,-2.487375e-14,0.001,-1.02,-2.152235e-14,0.016,-14.36,-2.487035e-14,0.001,-1.03
INV_X1,A_r_ZN_f,delay,2,1,PU0_m3s,5.076944e-11,5.081041e-11,4.097000e-14,8.069815e-04,3.798000e-14,-0.006,-7.3,4.081500e-14,-0.000,-0.38,3.799421e-14,-0.006,-7.26,4.081719e-14,-0.000,-0.37
INV_X1,A_r_ZN_f,trans,2,1,PU0_m3s,3.375328e-11,3.371717e-11,-3.611000e-14,-1.069822e-03,-3.354750e-14,0.008,-7.1,-3.567375e-14,0.001,-1.21,-3.353083e-14,0.008,-7.14,-3.567156e-14,0.001,-1.21
INV_X1,A_r_ZN_f,delay,2,2,PU0_m3s,8.083652e-11,8.086973e-11,3.321000e-14,4.108292e-04,3.201750e-14,-0.001,-3.59,3.313125e-14,-0.000,-0.24,3.202384e-14,-0.001,-3.57,3.313170e-14,-0.000,-0.24
INV_X1,A_r_ZN_f,trans,2,2,PU0_m3s,6.245970e-11,6.244767e-11,-1.203000e-14,-1.926042e-04,-1.167750e-14,0.001,-2.93,-1.218375e-14,-0.000,1.28,-1.167641e-14,0.001,-2.94,-1.218365e-14,-0.000,1.28
INV_X1,A_f_ZN_r,delay,0,0,PU0_m3s,1.806795e-11,1.918889e-11,1.120940e-12,6.204024e-02,1.020397e-12,-0.524,-8.97,1.113851e-12,-0.037,-0.63,1.049761e-12,-0.371,-6.35,1.118280e-12,-0.014,-0.24
INV_X1,A_f_ZN_r,trans,0,0,PU0_m3s,1.611505e-11,1.744722e-11,1.332170e-12,8.266620e-02,1.212660e-12,-0.685,-8.97,1.320592e-12,-0.066,-0.87,1.259453e-12,-0.417,-5.46,1.326758e-12,-0.031,-0.41
INV_X1,A_f_ZN_r,delay,0,1,PU0_m3s,3.279435e-11,3.510544e-11,2.311090e-12,7.047220e-02,2.102805e-12,-0.593,-9.01,2.293155e-12,-0.051,-0.78,2.171686e-12,-0.397,-6.03,2.303006e-12,-0.023,-0.35
INV_X1,A_f_ZN_r,trans,0,1,PU0_m3s,3.661626e-11,3.964266e-11,3.026400e-12,8.265181e-02,2.753843e-12,-0.688,-9.01,3.003424e-12,-0.058,-0.76,2.860044e-12,-0.420,-5.5,3.017790e-12,-0.022,-0.28
INV_X1,A_f_ZN_r,delay,0,2,PU0_m3s,7.137842e-11,7.679900e-11,5.420580e-12,7.594144e-02,4.930717e-12,-0.638,-9.04,5.378546e-12,-0.055,-0.78,5.105011e-12,-0.411,-5.82,5.402964e-12,-0.023,-0.32
INV_X1,A_f_ZN_r,trans,0,2,PU0_m3s,9.128664e-11,9.883094e-11,7.544300e-12,8.264408e-02,6.865110e-12,-0.687,-9.0,7.485165e-12,-0.060,-0.78,7.129846e-12,-0.419,-5.49,7.520801e-12,-0.024,-0.31
INV_X1,A_f_ZN_r,delay,1,0,PU0_m3s,2.638431e-11,2.749292e-11,1.108610e-12,4.201777e-02,1.011172e-12,-0.354,-8.79,1.100576e-12,-0.029,-0.72,1.030799e-12,-0.283,-7.02,1.103659e-12,-0.018,-0.45
INV_X1,A_f_ZN_r,trans,1,0,PU0_m3s,1.816676e-11,1.918752e-11,1.020760e-12,5.618834e-02,9.136575e-13,-0.558,-10.49,1.014401e-12,-0.033,-0.62,9.370228e-13,-0.436,-8.2,1.018978e-12,-0.009,-0.17
INV_X1,A_f_ZN_r,delay,1,1,PU0_m3s,4.095798e-11,4.325915e-11,2.301170e-12,5.618368e-02,2.095830e-12,-0.475,-8.92,2.283345e-12,-0.041,-0.77,2.150379e-12,-0.349,-6.55,2.291532e-12,-0.022,-0.42
INV_X1,A_f_ZN_r,trans,1,1,PU0_m3s,3.661625e-11,3.964265e-11,3.026400e-12,8.265183e-02,2.745968e-12,-0.707,-9.27,3.030784e-12,0.011,0.14,2.851555e-12,-0.441,-5.78,3.048056e-12,0.055,0.72
INV_X1,A_f_ZN_r,delay,1,2,PU0_m3s,7.961634e-11,8.504196e-11,5.425620e-12,6.814707e-02,4.937490e-12,-0.574,-9.0,5.383597e-12,-0.049,-0.77,5.093806e-12,-0.390,-6.12,5.406133e-12,-0.023,-0.36
INV_X1,A_f_ZN_r,trans,1,2,PU0_m3s,9.128658e-11,9.883094e-11,7.544360e-12,8.264479e-02,6.864975e-12,-0.687,-9.01,7.486650e-12,-0.058,-0.76,7.129701e-12,-0.420,-5.5,7.522419e-12,-0.022,-0.29
INV_X1,A_f_ZN_r,delay,2,0,PU0_m3s,4.194191e-11,4.387622e-11,1.934310e-12,4.611879e-02,1.806277e-12,-0.292,-6.62,1.924841e-12,-0.022,-0.49,1.845737e-12,-0.202,-4.58,1.928991e-12,-0.012,-0.27
