cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,PVT_m3s,1.470415e-11,1.467310e-11,-3.105000e-14,-2.111649e-03,-2.754000e-14,0.024,-11.3,-3.138750e-14,-0.002,1.09,-2.751423e-14,0.024,-11.39,-3.137976e-14,-0.002,1.06
INV_X1,A_r_ZN_f,trans,0,0,PVT_m3s,1.029284e-11,1.029287e-11,3.000000e-17,2.914647e-06,1.125000e-16,0.001,,1.125000e-17,-0.000,,1.125006e-16,0.001,,1.124939e-17,-0.000,
INV_X1,A_r_ZN_f,delay,0,1,PVT_m3s,2.540853e-11,2.542517e-11,1.664000e-14,6.548982e-04,2.070000e-14,0.016,24.4,1.665000e-14,0.000,0.06,2.070843e-14,0.016,24.45,1.664702e-14,0.000,0.04
INV_X1,A_r_ZN_f,trans,0,1,PVT_m3s,2.389741e-11,2.389747e-11,6.000000e-17,2.510732e-06,4.500000e-17,-0.000,,4.500000e-17,-0.000,,4.500004e-17,-0.000,,4.500000e-17,-0.000,
INV_X1,A_r_ZN_f,delay,0,2,PVT_m3s,5.328358e-11,5.333911e-11,5.553000e-14,1.042160e-03,5.764500e-14,0.004,3.81,5.562000e-14,0.000,0.16,5.767619e-14,0.004,3.86,5.561783e-14,0.000,0.16
INV_X1,A_r_ZN_f,trans,0,2,PVT_m3s,6.017713e-11,6.017725e-11,1.200000e-16,1.994113e-06,1.350000e-16,0.000,,1.350000e-16,0.000,,1.350002e-16,0.000,,1.350000e-16,0.000,
INV_X1,A_r_ZN_f,delay,1,0,PVT_m3s,2.202089e-11,2.198499e-11,-3.590000e-14,-1.630270e-03,-4.682250e-14,-0.050,30.42,-3.760875e-14,-0.008,4.76,-4.677276e-14,-0.049,30.29,-3.762635e-14,-0.008,4.81
INV_X1,A_r_ZN_f,trans,1,0,PVT_m3s,1.285186e-11,1.287870e-11,2.684000e-14,2.088414e-03,3.420000e-14,0.057,27.42,2.772000e-14,0.007,3.28,3.424555e-14,0.058,27.59,2.770431e-14,0.007,3.22
INV_X1,A_r_ZN_f,delay,1,1,PVT_m3s,3.306038e-11,3.303533e-11,-2.505000e-14,-7.577045e-04,-2.601000e-14,-0.003,3.83,-2.601000e-14,-0.003,3.83,-2.599977e-14,-0.003,3.79,-2.600999e-14,-0.003,3.83
INV_X1,A_r_ZN_f,trans,1,1,PVT_m3s,2.431095e-11,2.431691e-11,5.960000e-15,2.451570e-04,6.187500e-15,0.001,3.82,6.086250e-15,0.001,2.12,6.188287e-15,0.001,3.83,6.086224e-15,0.001,2.12
INV_X1,A_r_ZN_f,delay,1,2,PVT_m3s,6.106910e-11,6.108784e-11,1.874000e-14,3.068655e-04,2.097000e-14,0.004,11.9,1.833750e-14,-0.001,-2.15,2.097360e-14,0.004,11.92,1.833665e-14,-0.001,-2.15
INV_X1,A_r_ZN_f,trans,1,2,PVT_m3s,6.017707e-11,6.017726e-11,1.900000e-16,3.157349e-06,1.350000e-16,-0.000,,1.350000e-16,-0.000,,1.350002e-16,-0.000,,1.350000e-16,-0.000,
INV_X1,A_r_ZN_f,delay,2,0,PVT_m3s,3.355257e-11,3.383865e-11,2.860800e-13,8.526322e-03,1.958175e-13,-0.267,-31.55,2.781337e-13,-0.023,-2.78,1.963900e-13,-0.265,-31.35,2.787136e-13,-0.022,-2.57
INV_X1,A_r_ZN_f,trans,2,0,PVT_m3s,2.282545e-11,2.264874e-11,-1.767100e-13,-7.741797e-03,-1.282275e-13,0.214,-27.44,-1.805738e-13,-0.017,2.19,-1.278680e-13,0.216,-27.64,-1.802187e-13,-0.015,1.99
INV_X1,A_r_ZN_f,delay,2,1,PVT_m3s,5.076944e-11,5.084430e-11,7.486000e-14,1.474509e-03,3.449250e-14,-0.079,-53.92,6.942375e-14,-0.011,-7.26,3.450422e-14,-0.079,-53.91,6.945950e-14,-0.011,-7.21
INV_X1,A_r_ZN_f,trans,2,1,PVT_m3s,3.375328e-11,3.369758e-11,-5.570000e-14,-1.650210e-03,-2.448000e-14,0.093,-56.05,-5.181750e-14,0.012,-6.97,-2.447112e-14,0.093,-56.07,-5.178661e-14,0.012,-7.03
INV_X1,A_r_ZN_f,delay,2,2,PVT_m3s,8.083652e-11,8.085721e-11,2.069000e-14,2.559487e-04,8.482500e-15,-0.015,-59.0,1.810125e-14,-0.003,-12.51,8.482945e-15,-0.015,-59.0,1.810283e-14,-0.003,-12.5
INV_X1,A_r_ZN_f,trans,2,2,PVT_m3s,6.245970e-11,6.245254e-11,-7.160000e-15,-1.146339e-04,-2.902500e-15,0.007,-59.46,-6.446250e-15,0.001,-9.97,-2.902433e-15,0.007,-59.46,-6.445985e-15,0.001,-9.97
INV_X1,A_f_ZN_r,delay,0,0,PVT_m3s,1.806795e-11,1.600027e-11,-2.067680e-12,-1.144391e-01,-2.260372e-12,-1.204,9.32,-2.049874e-12,0.111,-0.86,-2.124698e-12,-0.356,2.76,-2.063600e-12,0.025,-0.2
INV_X1,A_f_ZN_r,trans,0,0,PVT_m3s,1.611505e-11,1.419802e-11,-1.917030e-12,-1.189590e-01,-2.131267e-12,-1.509,11.18,-1.898696e-12,0.129,-0.96,-1.996347e-12,-0.559,4.14,-1.915833e-12,0.008,-0.06
INV_X1,A_f_ZN_r,delay,0,1,PVT_m3s,3.279435e-11,2.878800e-11,-4.006350e-12,-1.221659e-01,-4.414928e-12,-1.419,10.2,-3.968516e-12,0.131,-0.94,-4.130647e-12,-0.432,3.1,-3.999915e-12,0.022,-0.16
INV_X1,A_f_ZN_r,trans,0,1,PVT_m3s,3.661626e-11,3.223328e-11,-4.382980e-12,-1.197004e-01,-4.871835e-12,-1.517,11.15,-4.337235e-12,0.142,-1.04,-4.561642e-12,-0.554,4.08,-4.376836e-12,0.019,-0.14
INV_X1,A_f_ZN_r,delay,0,2,PVT_m3s,7.137842e-11,6.232243e-11,-9.055990e-12,-1.268729e-01,-1.003320e-11,-1.568,10.79,-8.965417e-12,0.145,-1.0,-9.359960e-12,-0.488,3.36,-9.044079e-12,0.019,-0.13
INV_X1,A_f_ZN_r,trans,0,2,PVT_m3s,9.128664e-11,8.032700e-11,-1.095964e-11,-1.200574e-01,-1.217902e-11,-1.518,11.13,-1.084475e-11,0.143,-1.05,-1.140155e-11,-0.550,4.03,-1.094358e-11,0.020,-0.15
INV_X1,A_f_ZN_r,delay,1,0,PVT_m3s,2.638431e-11,2.360565e-11,-2.778660e-12,-1.053149e-01,-2.788065e-12,-0.040,0.34,-2.589817e-12,0.800,-6.8,-2.645810e-12,0.563,-4.78,-2.599936e-12,0.757,-6.43
INV_X1,A_f_ZN_r,trans,1,0,PVT_m3s,1.816676e-11,1.731373e-11,-8.530300e-13,-4.695554e-02,-1.107202e-12,-1.468,29.8,-8.179313e-13,0.203,-4.11,-1.074138e-12,-1.277,25.92,-8.320162e-13,0.121,-2.46
INV_X1,A_f_ZN_r,delay,1,1,PVT_m3s,4.095798e-11,3.638399e-11,-4.573990e-12,-1.116752e-01,-4.973220e-12,-1.097,8.73,-4.537035e-12,0.102,-0.81,-4.683148e-12,-0.300,2.39,-4.564049e-12,0.027,-0.22
INV_X1,A_f_ZN_r,trans,1,1,PVT_m3s,3.661625e-11,3.261332e-11,-4.002930e-12,-1.093211e-01,-4.767322e-12,-2.344,19.1,-3.761201e-12,0.741,-6.04,-4.470019e-12,-1.432,11.67,-3.853341e-12,0.459,-3.74
INV_X1,A_f_ZN_r,delay,1,2,PVT_m3s,7.961634e-11,6.994592e-11,-9.670420e-12,-1.214628e-01,-1.063800e-11,-1.383,10.01,-9.580545e-12,0.128,-0.93,-9.957922e-12,-0.411,2.97,-9.653877e-12,0.024,-0.17
INV_X1,A_f_ZN_r,trans,1,2,PVT_m3s,9.128658e-11,8.032697e-11,-1.095961e-11,-1.200572e-01,-1.217905e-11,-1.518,11.13,-1.084305e-11,0.145,-1.06,-1.140157e-11,-0.550,4.03,-1.094209e-11,0.022,-0.16
INV_X1,A_f_ZN_r,delay,2,0,PVT_m3s,4.194191e-11,3.527473e-11,-6.667180e-12,-1.589622e-01,-6.775245e-12,-0.306,1.62,-6.675817e-12,-0.024,0.13,-6.256326e-12,1.165,-6.16,-6.635307e-12,0.090,-0.48
INV_X1,A_f_ZN_r,trans,2,0,PVT_m3s,3.004457e-11,2.912353e-11,-9.210400e-13,-3.065579e-02,-8.262225e-13,0.326,-10.29,-9.249412e-13,-0.013,0.42,-8.149654e-13,0.364,-11.52,-9.218628e-13,-0.003,0.09
INV_X1,A_f_ZN_r,delay,2,1,PVT_m3s,6.199059e-11,5.475546e-11,-7.235130e-12,-1.167134e-01,-7.284375e-12,-0.090,0.68,-7.240028e-12,-0.009,0.07,-6.872672e-12,0.662,-5.01,-7.212724e-12,0.041,-0.31
INV_X1,A_f_ZN_r,trans,2,1,PVT_m3s,4.426741e-11,4.258799e-11,-1.679420e-12,-3.793807e-02,-2.164545e-12,-1.139,28.89,-1.601393e-12,0.183,-4.65,-2.112477e-12,-1.017,25.79,-1.623782e-12,0.131,-3.31
