cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,PVT_p3s,1.470415e-11,1.472755e-11,2.340000e-14,1.591387e-03,2.754000e-14,0.028,17.69,2.369250e-14,0.002,1.25,2.756581e-14,0.028,17.8,2.368577e-14,0.002,1.22
INV_X1,A_r_ZN_f,trans,0,0,PVT_p3s,1.029284e-11,1.029266e-11,-1.800000e-16,-1.748788e-05,-1.125000e-16,0.001,,-2.137500e-16,-0.000,,-1.124994e-16,0.001,,-2.137484e-16,-0.000,
INV_X1,A_r_ZN_f,delay,0,1,PVT_p3s,2.540853e-11,2.538369e-11,-2.484000e-14,-9.776244e-04,-2.070000e-14,0.016,-16.67,-2.475000e-14,0.000,-0.36,-2.069157e-14,0.016,-16.7,-2.474637e-14,0.000,-0.38
INV_X1,A_r_ZN_f,trans,0,1,PVT_p3s,2.389741e-11,2.389738e-11,-3.000000e-17,-1.255366e-06,-4.500000e-17,-0.000,,-4.500000e-17,-0.000,,-4.499996e-17,-0.000,,-4.500000e-17,-0.000,
INV_X1,A_r_ZN_f,delay,0,2,PVT_p3s,5.328358e-11,5.322390e-11,-5.968000e-14,-1.120045e-03,-5.764500e-14,0.004,-3.41,-5.967000e-14,0.000,-0.02,-5.761383e-14,0.004,-3.46,-5.966775e-14,0.000,-0.02
INV_X1,A_r_ZN_f,trans,0,2,PVT_p3s,6.017713e-11,6.017703e-11,-1.000000e-16,-1.661761e-06,-1.350000e-16,-0.000,,-1.350000e-16,-0.000,,-1.349998e-16,-0.000,,-1.350000e-16,-0.000,
INV_X1,A_r_ZN_f,delay,1,0,PVT_p3s,2.202089e-11,2.207517e-11,5.428000e-14,2.464932e-03,4.682250e-14,-0.034,-13.74,5.603625e-14,0.008,3.24,4.687231e-14,-0.034,-13.65,5.605770e-14,0.008,3.28
INV_X1,A_r_ZN_f,trans,1,0,PVT_p3s,1.285186e-11,1.281225e-11,-3.961000e-14,-3.082044e-03,-3.420000e-14,0.042,-13.66,-4.068000e-14,-0.008,2.7,-3.415454e-14,0.043,-13.77,-4.066105e-14,-0.008,2.65
INV_X1,A_r_ZN_f,delay,1,1,PVT_p3s,3.306038e-11,3.308542e-11,2.504000e-14,7.574021e-04,2.601000e-14,0.003,3.87,2.601000e-14,0.003,3.87,2.602023e-14,0.003,3.91,2.600999e-14,0.003,3.87
INV_X1,A_r_ZN_f,trans,1,1,PVT_p3s,2.431095e-11,2.430498e-11,-5.970000e-15,-2.455684e-04,-6.187500e-15,-0.001,3.64,-6.288750e-15,-0.001,5.34,-6.186713e-15,-0.001,3.63,-6.288724e-15,-0.001,5.34
INV_X1,A_r_ZN_f,delay,1,2,PVT_p3s,6.106910e-11,6.104522e-11,-2.388000e-14,-3.910325e-04,-2.097000e-14,0.005,-12.19,-2.360250e-14,0.000,-1.16,-2.096640e-14,0.005,-12.2,-2.360154e-14,0.000,-1.17
INV_X1,A_r_ZN_f,trans,1,2,PVT_p3s,6.017707e-11,6.017705e-11,-2.000000e-17,-3.323525e-07,-1.350000e-16,-0.000,,-1.350000e-16,-0.000,,-1.349998e-16,-0.000,,-1.350000e-16,-0.000,
INV_X1,A_r_ZN_f,delay,2,0,PVT_p3s,3.355257e-11,3.343023e-11,-1.223400e-13,-3.646218e-03,-1.958175e-13,-0.220,60.06,-1.135012e-13,0.026,-7.22,-1.952472e-13,-0.218,59.59,-1.138790e-13,0.025,-6.92
INV_X1,A_r_ZN_f,trans,2,0,PVT_p3s,2.282545e-11,2.290500e-11,7.955000e-14,3.485145e-03,1.282275e-13,0.213,61.19,7.588125e-14,-0.016,-4.61,1.285883e-13,0.214,61.64,7.564615e-14,-0.017,-4.91
INV_X1,A_r_ZN_f,delay,2,1,PVT_p3s,5.076944e-11,5.076510e-11,-4.340000e-15,-8.548450e-05,-3.449250e-14,-0.059,694.76,4.387500e-16,0.009,-110.11,-3.448079e-14,-0.059,694.49,4.270348e-16,0.009,-109.84
INV_X1,A_r_ZN_f,trans,2,1,PVT_p3s,3.375328e-11,3.375370e-11,4.200000e-16,1.244324e-05,2.448000e-14,0.071,,-2.857500e-15,-0.010,,2.448888e-14,0.071,,-2.866256e-15,-0.010,
INV_X1,A_r_ZN_f,delay,2,2,PVT_p3s,8.083652e-11,8.083537e-11,-1.150000e-15,-1.422624e-05,-8.482500e-15,-0.009,637.61,1.136250e-15,0.003,-198.8,-8.482055e-15,-0.009,637.57,1.135813e-15,0.003,-198.77
INV_X1,A_r_ZN_f,trans,2,2,PVT_p3s,6.245970e-11,6.245998e-11,2.800000e-16,4.482891e-06,2.902500e-15,0.004,,-6.412500e-16,-0.001,,2.902567e-15,0.004,,-6.413141e-16,-0.001,
