cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,SFG,1.470415e-11,1.671517e-11,2.011020e-12,1.367655e-01,1.800990e-12,-1.257,-10.44,1.948410e-12,-0.375,-3.11,1.915929e-12,-0.569,-4.73,1.989719e-12,-0.127,-1.06
INV_X1,A_r_ZN_f,trans,0,0,SFG,1.029284e-11,1.193562e-11,1.642780e-12,1.596042e-01,1.408387e-12,-1.964,-14.27,1.549429e-12,-0.782,-5.68,1.509293e-12,-1.118,-8.13,1.600678e-12,-0.353,-2.56
INV_X1,A_r_ZN_f,delay,0,1,SFG,2.540853e-11,2.925135e-11,3.842820e-12,1.512413e-01,3.372233e-12,-1.609,-12.25,3.672034e-12,-0.584,-4.44,3.606252e-12,-0.809,-6.16,3.774570e-12,-0.233,-1.78
INV_X1,A_r_ZN_f,trans,0,1,SFG,2.389741e-11,2.771487e-11,3.817460e-12,1.597437e-01,3.268530e-12,-1.981,-14.38,3.609135e-12,-0.752,-5.46,3.502603e-12,-1.136,-8.25,3.729941e-12,-0.316,-2.29
INV_X1,A_r_ZN_f,delay,0,2,SFG,5.328358e-11,6.172164e-11,8.438060e-12,1.583614e-01,7.312567e-12,-1.823,-13.34,8.013724e-12,-0.687,-5.03,7.838115e-12,-0.972,-7.11,8.261311e-12,-0.286,-2.09
INV_X1,A_r_ZN_f,trans,0,2,SFG,6.017713e-11,6.979394e-11,9.616810e-12,1.598084e-01,8.234415e-12,-1.981,-14.37,9.104557e-12,-0.734,-5.33,8.824399e-12,-1.135,-8.24,9.410866e-12,-0.295,-2.14
INV_X1,A_r_ZN_f,delay,1,0,SFG,2.202089e-11,2.500118e-11,2.980290e-12,1.353392e-01,2.927790e-12,-0.210,-1.76,2.990970e-12,0.043,0.36,3.131343e-12,0.604,5.07,3.028822e-12,0.194,1.63
INV_X1,A_r_ZN_f,trans,1,0,SFG,1.285186e-11,1.353414e-11,6.822800e-13,5.308804e-02,4.114575e-13,-2.001,-39.69,5.616112e-13,-0.892,-17.69,4.181148e-13,-1.952,-38.72,5.715428e-13,-0.818,-16.23
INV_X1,A_r_ZN_f,delay,1,1,SFG,3.306038e-11,3.754548e-11,4.485100e-12,1.356639e-01,4.048267e-12,-1.163,-9.74,4.346651e-12,-0.369,-3.09,4.306558e-12,-0.476,-3.98,4.438576e-12,-0.124,-1.04
INV_X1,A_r_ZN_f,trans,1,1,SFG,2.431095e-11,2.774585e-11,3.434900e-12,1.412902e-01,2.750535e-12,-2.467,-19.92,3.179025e-12,-0.922,-7.45,2.912170e-12,-1.884,-15.22,3.287036e-12,-0.533,-4.3
INV_X1,A_r_ZN_f,delay,1,2,SFG,6.106910e-11,7.021737e-11,9.148270e-12,1.498019e-01,8.052097e-12,-1.561,-11.98,8.748394e-12,-0.569,-4.37,8.607062e-12,-0.771,-5.92,8.985381e-12,-0.232,-1.78
INV_X1,A_r_ZN_f,trans,1,2,SFG,6.017707e-11,6.979394e-11,9.616870e-12,1.598095e-01,8.234280e-12,-1.981,-14.38,9.107865e-12,-0.729,-5.29,8.824245e-12,-1.136,-8.24,9.414696e-12,-0.290,-2.1
INV_X1,A_r_ZN_f,delay,2,0,SFG,3.355257e-11,4.108849e-11,7.535920e-12,2.246004e-01,7.431592e-12,-0.254,-1.38,7.664974e-12,0.314,1.71,8.318891e-12,1.906,10.39,7.850144e-12,0.765,4.17
INV_X1,A_r_ZN_f,trans,2,0,SFG,2.282545e-11,2.332297e-11,4.975200e-13,2.179672e-02,4.494825e-13,-0.206,-9.66,3.746588e-13,-0.527,-24.69,4.539373e-13,-0.187,-8.76,3.739300e-13,-0.530,-24.84
INV_X1,A_r_ZN_f,delay,2,1,SFG,5.076944e-11,5.866595e-11,7.896510e-12,1.555367e-01,7.763895e-12,-0.226,-1.68,7.930957e-12,0.059,0.44,8.388994e-12,0.839,6.24,8.063895e-12,0.285,2.12
INV_X1,A_r_ZN_f,trans,2,1,SFG,3.375328e-11,3.474005e-11,9.867700e-13,2.923479e-02,7.188975e-13,-0.771,-27.15,6.185587e-13,-1.060,-37.31,7.266079e-13,-0.749,-26.37,6.202100e-13,-1.055,-37.15
INV_X1,A_r_ZN_f,delay,2,2,SFG,8.083652e-11,9.186384e-11,1.102732e-11,1.364151e-01,9.973980e-12,-1.147,-9.55,1.067645e-11,-0.382,-3.18,1.061540e-11,-0.448,-3.74,1.090904e-11,-0.129,-1.07
INV_X1,A_r_ZN_f,trans,2,2,SFG,6.245970e-11,7.053697e-11,8.077270e-12,1.293197e-01,6.415672e-12,-2.356,-20.57,7.450954e-12,-0.888,-7.75,6.756749e-12,-1.872,-16.35,7.686127e-12,-0.555,-4.84
INV_X1,A_f_ZN_r,delay,0,0,SFG,1.806795e-11,1.527447e-11,-2.793480e-12,-1.546097e-01,-3.173040e-12,-2.485,13.59,-2.868075e-12,-0.488,2.67,-2.910039e-12,-0.763,4.17,-2.796737e-12,-0.021,0.12
INV_X1,A_f_ZN_r,trans,0,0,SFG,1.611505e-11,1.323180e-11,-2.883250e-12,-1.789166e-01,-3.343590e-12,-3.479,15.97,-3.003390e-12,-0.908,4.17,-3.019517e-12,-1.030,4.73,-2.894068e-12,-0.082,0.38
INV_X1,A_f_ZN_r,delay,0,1,SFG,3.279435e-11,2.718193e-11,-5.612420e-12,-1.711398e-01,-6.452640e-12,-3.091,14.97,-5.818410e-12,-0.758,3.67,-5.857492e-12,-0.902,4.37,-5.635137e-12,-0.084,0.4
INV_X1,A_f_ZN_r,trans,0,1,SFG,3.661626e-11,3.004013e-11,-6.576130e-12,-1.795959e-01,-7.625677e-12,-3.494,15.96,-6.841699e-12,-0.884,4.04,-6.883987e-12,-1.025,4.68,-6.593243e-12,-0.057,0.26
INV_X1,A_f_ZN_r,delay,0,2,SFG,7.137842e-11,5.846770e-11,-1.291072e-11,-1.808771e-01,-1.494871e-11,-3.486,15.79,-1.343512e-11,-0.897,4.06,-1.348715e-11,-0.986,4.46,-1.296727e-11,-0.097,0.44
INV_X1,A_f_ZN_r,trans,0,2,SFG,9.128664e-11,7.486229e-11,-1.642435e-11,-1.799206e-01,-1.904445e-11,-3.500,15.95,-1.709012e-11,-0.889,4.05,-1.718913e-11,-1.022,4.66,-1.646830e-11,-0.059,0.27
INV_X1,A_f_ZN_r,delay,1,0,SFG,2.638431e-11,2.266586e-11,-3.718450e-12,-1.409341e-01,-3.753675e-12,-0.155,0.95,-3.448507e-12,1.191,-7.26,-3.498884e-12,0.969,-5.9,-3.378470e-12,1.500,-9.14
INV_X1,A_f_ZN_r,trans,1,0,SFG,1.816676e-11,1.663596e-11,-1.530800e-12,-8.426379e-02,-2.056927e-12,-3.163,34.37,-1.680379e-12,-0.899,9.77,-1.944753e-12,-2.488,27.04,-1.656648e-12,-0.756,8.22
INV_X1,A_f_ZN_r,delay,1,1,SFG,4.095798e-11,3.477740e-11,-6.180580e-12,-1.509005e-01,-6.988050e-12,-2.322,13.06,-6.355238e-12,-0.502,2.83,-6.424422e-12,-0.701,3.95,-6.189899e-12,-0.027,0.15
