cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,SS1,1.470415e-11,1.537068e-11,6.665300e-13,4.532938e-02,6.416250e-13,-0.162,-3.74,6.580050e-13,-0.055,-1.28,6.558297e-13,-0.070,-1.61,6.633921e-13,-0.020,-0.47
INV_X1,A_r_ZN_f,trans,0,0,SS1,1.029284e-11,1.078511e-11,4.922700e-13,4.782645e-02,4.693125e-13,-0.213,-4.66,4.849837e-13,-0.068,-1.48,4.801764e-13,-0.112,-2.46,4.894131e-13,-0.026,-0.58
INV_X1,A_r_ZN_f,delay,0,1,SS1,2.540853e-11,2.658049e-11,1.171960e-12,4.612467e-02,1.123973e-12,-0.181,-4.09,1.157284e-12,-0.055,-1.25,1.149203e-12,-0.086,-1.94,1.166278e-12,-0.021,-0.48
INV_X1,A_r_ZN_f,trans,0,1,SS1,2.389741e-11,2.504176e-11,1.144350e-12,4.788594e-02,1.089480e-12,-0.219,-4.79,1.127325e-12,-0.068,-1.49,1.114696e-12,-0.118,-2.59,1.137670e-12,-0.027,-0.58
INV_X1,A_r_ZN_f,delay,0,2,SS1,5.328358e-11,5.580046e-11,2.516880e-12,4.723556e-02,2.405257e-12,-0.200,-4.43,2.483164e-12,-0.060,-1.34,2.460371e-12,-0.101,-2.25,2.503124e-12,-0.025,-0.55
INV_X1,A_r_ZN_f,trans,0,2,SS1,6.017713e-11,6.306040e-11,2.883270e-12,4.791305e-02,2.744715e-12,-0.220,-4.81,2.841397e-12,-0.066,-1.45,2.808272e-12,-0.119,-2.6,2.867530e-12,-0.025,-0.55
INV_X1,A_r_ZN_f,delay,1,0,SS1,2.202089e-11,2.307080e-11,1.049910e-12,4.767791e-02,1.036995e-12,-0.056,-1.23,1.044015e-12,-0.026,-0.56,1.061800e-12,0.052,1.13,1.051327e-12,0.006,0.13
INV_X1,A_r_ZN_f,trans,1,0,SS1,1.285186e-11,1.296823e-11,1.163700e-13,9.054720e-03,9.278250e-14,-0.182,-20.27,1.094662e-13,-0.053,-5.93,9.311822e-14,-0.179,-19.98,1.096634e-13,-0.052,-5.76
INV_X1,A_r_ZN_f,delay,1,1,SS1,3.306038e-11,3.450118e-11,1.440800e-12,4.358087e-02,1.390972e-12,-0.144,-3.46,1.424126e-12,-0.048,-1.16,1.420649e-12,-0.058,-1.4,1.434163e-12,-0.019,-0.46
INV_X1,A_r_ZN_f,trans,1,1,SS1,2.431095e-11,2.528740e-11,9.764500e-13,4.016503e-02,9.069600e-13,-0.275,-7.12,9.545700e-13,-0.087,-2.24,9.240902e-13,-0.207,-5.36,9.624659e-13,-0.055,-1.43
INV_X1,A_r_ZN_f,delay,1,2,SS1,6.106910e-11,6.386558e-11,2.796480e-12,4.579206e-02,2.684662e-12,-0.175,-4.0,2.762029e-12,-0.054,-1.23,2.744547e-12,-0.081,-1.86,2.782953e-12,-0.021,-0.48
INV_X1,A_r_ZN_f,trans,1,2,SS1,6.017707e-11,6.306035e-11,2.883280e-12,4.791327e-02,2.744700e-12,-0.220,-4.81,2.841765e-12,-0.066,-1.44,2.808256e-12,-0.119,-2.6,2.867915e-12,-0.024,-0.53
INV_X1,A_r_ZN_f,delay,2,0,SS1,3.355257e-11,3.596331e-11,2.410740e-12,7.184964e-02,2.358578e-12,-0.145,-2.16,2.384509e-12,-0.073,-1.09,2.443453e-12,0.091,1.36,2.398454e-12,-0.034,-0.51
INV_X1,A_r_ZN_f,trans,2,0,SS1,2.282545e-11,2.302472e-11,1.992700e-13,8.730167e-03,2.209575e-13,0.094,10.88,2.126438e-13,0.058,6.71,2.220304e-13,0.099,11.42,2.132158e-13,0.061,7.0
INV_X1,A_r_ZN_f,delay,2,1,SS1,5.076944e-11,5.339366e-11,2.624220e-12,5.168897e-02,2.590290e-12,-0.064,-1.29,2.608853e-12,-0.029,-0.59,2.657507e-12,0.062,1.27,2.624805e-12,0.001,0.02
INV_X1,A_r_ZN_f,trans,2,1,SS1,3.375328e-11,3.396235e-11,2.090700e-13,6.194065e-03,2.335875e-13,0.072,11.73,2.224388e-13,0.039,6.39,2.343976e-13,0.075,12.11,2.227284e-13,0.040,6.53
INV_X1,A_r_ZN_f,delay,2,2,SS1,8.083652e-11,8.429229e-11,3.455770e-12,4.275011e-02,3.340350e-12,-0.137,-3.34,3.418402e-12,-0.044,-1.08,3.410326e-12,-0.054,-1.32,3.440339e-12,-0.018,-0.45
INV_X1,A_r_ZN_f,trans,2,2,SS1,6.245970e-11,6.475623e-11,2.296530e-12,3.676819e-02,2.132707e-12,-0.253,-7.13,2.247739e-12,-0.075,-2.12,2.169536e-12,-0.196,-5.53,2.265386e-12,-0.048,-1.36
INV_X1,A_f_ZN_r,delay,0,0,SS1,1.806795e-11,1.925410e-11,1.186150e-12,6.564940e-02,1.129500e-12,-0.294,-4.78,1.163385e-12,-0.118,-1.92,1.165552e-12,-0.107,-1.74,1.181473e-12,-0.024,-0.39
INV_X1,A_f_ZN_r,trans,0,0,SS1,1.611505e-11,1.728956e-11,1.174510e-12,7.288280e-02,1.114755e-12,-0.346,-5.09,1.152555e-12,-0.127,-1.87,1.154216e-12,-0.117,-1.73,1.172520e-12,-0.012,-0.17
INV_X1,A_f_ZN_r,delay,0,1,SS1,3.279435e-11,3.510211e-11,2.307760e-12,7.037066e-02,2.194275e-12,-0.323,-4.92,2.264745e-12,-0.123,-1.86,2.269350e-12,-0.109,-1.66,2.301392e-12,-0.018,-0.28
INV_X1,A_f_ZN_r,trans,0,1,SS1,3.661626e-11,3.929472e-11,2.678460e-12,7.314947e-02,2.541892e-12,-0.348,-5.1,2.629001e-12,-0.126,-1.85,2.632199e-12,-0.118,-1.73,2.674659e-12,-0.010,-0.14
INV_X1,A_f_ZN_r,delay,0,2,SS1,7.137842e-11,7.663810e-11,5.259680e-12,7.368726e-02,4.993042e-12,-0.348,-5.07,5.161219e-12,-0.128,-1.87,5.171823e-12,-0.115,-1.67,5.247901e-12,-0.015,-0.22
