cell,arc,meas,slew_idx,load_idx,corner,v0,v_sim,dv_sim,dv_sim_rel,dv_lin,err_abs_pct_lin,err_shift_pct_lin,dv_quad,err_abs_pct_quad,err_shift_pct_quad,dv_loglin,err_abs_pct_loglin,err_shift_pct_loglin,dv_logquad,err_abs_pct_logquad,err_shift_pct_logquad
INV_X1,A_r_ZN_f,delay,0,0,SSG,1.470415e-11,1.687470e-11,2.170550e-12,1.476148e-01,1.924875e-12,-1.456,-11.32,2.072295e-12,-0.582,-4.53,2.056547e-12,-0.676,-5.25,2.130962e-12,-0.235,-1.82
INV_X1,A_r_ZN_f,trans,0,0,SSG,1.029284e-11,1.193553e-11,1.642690e-12,1.595954e-01,1.407938e-12,-1.967,-14.29,1.548979e-12,-0.785,-5.7,1.508777e-12,-1.122,-8.15,1.600158e-12,-0.356,-2.59
INV_X1,A_r_ZN_f,delay,0,1,SSG,2.540853e-11,2.925791e-11,3.849380e-12,1.514995e-01,3.371918e-12,-1.632,-12.4,3.671719e-12,-0.607,-4.62,3.605893e-12,-0.832,-6.33,3.774209e-12,-0.257,-1.95
INV_X1,A_r_ZN_f,trans,0,1,SSG,2.389741e-11,2.771473e-11,3.817320e-12,1.597378e-01,3.268440e-12,-1.980,-14.38,3.609045e-12,-0.751,-5.46,3.502500e-12,-1.136,-8.25,3.729837e-12,-0.316,-2.29
INV_X1,A_r_ZN_f,delay,0,2,SSG,5.328358e-11,6.161207e-11,8.328490e-12,1.563050e-01,7.215772e-12,-1.806,-13.36,7.916929e-12,-0.668,-4.94,7.727182e-12,-0.976,-7.22,8.149610e-12,-0.290,-2.15
INV_X1,A_r_ZN_f,trans,0,2,SSG,6.017713e-11,6.979367e-11,9.616540e-12,1.598039e-01,8.234145e-12,-1.981,-14.38,9.104287e-12,-0.734,-5.33,8.824090e-12,-1.135,-8.24,9.410553e-12,-0.295,-2.14
INV_X1,A_r_ZN_f,delay,1,0,SSG,2.202089e-11,2.523195e-11,3.211060e-12,1.458188e-01,3.110985e-12,-0.397,-3.12,3.174165e-12,-0.146,-1.15,3.341461e-12,0.517,4.06,3.238084e-12,0.107,0.84
INV_X1,A_r_ZN_f,trans,1,0,SSG,1.285186e-11,1.339135e-11,5.394900e-13,4.197758e-02,2.783475e-13,-1.950,-48.41,4.285012e-13,-0.829,-20.57,2.813836e-13,-1.927,-47.84,4.332307e-13,-0.793,-19.7
INV_X1,A_r_ZN_f,delay,1,1,SSG,3.306038e-11,3.772384e-11,4.663460e-12,1.410589e-01,4.172918e-12,-1.300,-10.52,4.471301e-12,-0.509,-4.12,4.447712e-12,-0.572,-4.63,4.580228e-12,-0.221,-1.78
INV_X1,A_r_ZN_f,trans,1,1,SSG,2.431095e-11,2.773231e-11,3.421360e-12,1.407333e-01,2.720880e-12,-2.526,-20.47,3.149370e-12,-0.981,-7.95,2.878983e-12,-1.956,-15.85,3.253392e-12,-0.606,-4.91
